Language	ABS(Eigenvector)	Popfrom	Popto
mya	  0.00041984	90	90
myv	  0.00000000	32	32
mzn	  0.00012852	51	51
nap	  0.00039139	157	157
nau	  0.00000000	39	39
nav	  0.00010107	48	48
ndo	  0.00000000	5	5
nds	  0.00138550	340	340
nep	  0.00060644	275	275
new	  0.00000000	171	171
nld	  0.13486947	26888	26888
nor	  0.06036022	13866	13866
nov	  0.00000000	118	118
nrm	  0.00003984	27	27
nya	  0.00000000	7	7
oci	  0.00029083	345	345
ori	  0.00025657	141	141
orm	  0.00000000	57	57
oss	  0.00000000	77	77
pag	  0.00000000	16	16
pam	  0.00009330	19	19
pan	  0.00031099	105	105
pap	  0.00019437	52	52
pdc	  0.00024018	48	48
pih	  0.00000000	77	77
pli	  0.00000000	49	49
pms	  0.00000000	238	238
pnt	  0.00000000	114	114
pol	  0.09381910	21517	21517
por	  0.10986822	22072	22072
pus	  0.00013217	46	46
que	  0.00034272	143	143
roh	  0.00030441	98	98
rom	  0.00000000	76	76
ron	  0.02808689	6192	6192
run	  0.00000000	7	7
rup	  0.00014772	85	85
rus	  0.15165840	35178	35178
sag	  0.00000000	51	51
sah	  0.00003935	48	48
san	  0.00062976	165	165
scn	  0.00071389	268	268
sco	  0.00107293	362	362
sgs	  0.00000000	139	139
sin	  0.00155497	265	265
slk	  0.01036716	3485	3485
slv	  0.00987944	2993	2993
sme	  0.00000000	111	111
smo	  0.00000000	114	114
sna	  0.00000000	154	154
snd	  0.00000000	123	123
som	  0.00046649	229	229
sot	  0.00000000	158	158
spa	  0.28746349	58791	58791
sqi	  0.00688492	1806	1806
srd	  0.00007963	133	133
srn	  0.00000000	116	116
ssw	  0.00000000	149	149
stq	  0.00000000	157	157
sun	  0.00037938	245	245
swa	  0.00069974	370	370
swe	  0.09274840	20863	20863
szl	  0.00004315	241	241
tah	  0.00000000	164	164
tam	  0.00445498	897	897
tat	  0.00006081	142	142
tel	  0.00285337	628	628
tet	  0.00000000	121	121
tgk	  0.00000000	201	201
tha	  0.01166767	2725	2725
tir	  0.00000000	51	51
ton	  0.00000000	57	57
tpi	  0.00016327	100	100
tsn	  0.00000000	103	103
tso	  0.00000000	106	106
tuk	  0.00000000	157	157
tum	  0.00000000	148	148
tur	  0.04516290	10189	10189
udm	  0.00000000	174	174
uig	  0.00000000	187	187
ukr	  0.01974593	7076	7076
urd	  0.00157829	428	428
uzb	  0.00000000	314	314
vec	  0.00018149	382	382
ven	  0.00000000	149	149
vie	  0.01183458	3098	3098
vls	  0.00043929	247	247
vol	  0.00000000	135	135
war	  0.00000000	114	114
wln	  0.00000000	80	80
wol	  0.00000000	66	66
xal	  0.00000000	114	114
xho	  0.00000000	58	58
yid	  0.00049499	329	329
yor	  0.00000000	165	165
zea	  0.00000000	161	161
zha	  0.00000000	177	177
zho	  0.09375027	19201	19201
zul	  0.00006997	18	18
zza	  0.00000000	142	142
