langcode	translated_from	translated_to	out_degree	in_degree
lle	1	0	1	0
suq	0	7	0	4
xon	0	8	0	3
new	3	25	1	9
bdy	1	0	1	0
nep	47	140	12	11
sux	133	0	30	0
kzr	0	17	0	2
med	1	0	1	0
lms	3	0	1	0
jnj	0	1	0	1
lee	0	9	0	2
lef	0	6	0	3
kst	0	1	0	1
dow	0	2	0	1
ozm	1	17	1	3
lmp	0	8	0	2
lem	0	2	0	1
fun	0	1	0	1
meq	1	0	1	0
cab	1	0	1	0
lez	34	64	3	4
hke	1	0	1	0
glh	1	0	1	0
ctu	0	1	0	1
ekm	0	2	0	1
oma	2	0	1	0
gla	78	227	11	7
drs	0	1	0	1
bfd	0	6	0	2
gld	39	2	19	1
gle	269	167	24	19
sjt	2	0	1	0
glg	1346	2371	23	42
akk	136	0	25	0
ntj	3	3	1	1
sjo	0	1	0	1
sjm	0	10	0	3
akc	0	1	0	1
ntm	0	9	0	2
aka	2	2	2	2
bod	1508	344	43	12
hbs	12743	45036	166	198
sbg	1	0	1	0
apz	0	1	0	1
wic	1	0	1	0
jrb	12	0	6	0
jra	1	0	1	0
vie	668	786	48	32
txg	2	0	1	0
ipk	4	2	1	2
wim	0	6	0	2
apw	1	0	1	0
uzb	872	2757	44	60
wiu	0	1	0	1
wit	2	0	1	0
apn	0	1	0	1
brh	1	1	1	1
sga	14	0	6	0
bre	212	406	14	27
sgb	0	2	0	1
bra	11	2	6	1
lor	0	1	0	1
aym	7	6	3	2
dng	10	8	5	2
chc	1	0	1	0
zir	0	1	0	1
che	80	57	11	4
chg	19	0	8	0
dnn	0	10	0	3
chl	1	0	1	0
chm	116	89	10	5
dnk	0	1	0	1
cho	0	3	0	1
chp	25	123	2	3
msm	0	9	0	2
chs	1	0	1	0
chu	80	7	18	5
chv	203	174	15	16
usp	0	1	0	1
chy	10	0	3	0
chz	1	0	1	0
msb	0	1	0	1
msa	485	5416	37	48
jvn	9	6	1	2
kgs	1	0	1	0
xuu	1	0	1	0
auv	0	1	0	1
nko	0	1	0	1
kgh	0	11	0	3
iii	0	18	0	1
lkt	5	1	2	1
jmd	0	1	0	1
cay	0	2	0	1
ibl	0	1	0	1
srd	6	0	5	0
ibo	9	4	5	2
dep	1	0	1	0
car	12	3	4	2
kln	1	0	1	0
flr	0	11	0	2
xho	2	23	1	2
deu	201718	292124	173	225
cat	8328	18004	50	68
cak	3	1	2	1
tnd	0	1	0	1
uli	0	1	0	1
flm	1	0	1	0
tnm	0	1	0	1
ulc	2	0	1	0
caa	0	1	0	1
ded	0	1	0	1
ajg	0	7	0	1
erk	0	1	0	1
tat	462	819	36	29
tau	1	0	1	0
del	4	1	2	1
kyh	1	0	1	0
ake	0	14	0	1
cag	0	1	0	1
nde	3	14	2	3
raj	26	3	3	3
one	2	0	1	0
kyf	0	3	0	2
mpe	0	1	0	1
taa	2	0	1	0
tab	14	61	2	6
spa	52955	228910	131	182
tam	496	1763	35	44
kyq	0	6	0	3
ati	0	1	0	1
tah	10	7	2	3
tan	2	0	1	0
kib	2	0	2	0
akl	0	3	0	1
enf	11	0	11	0
eng	1225237	146294	356	443
enh	1	0	1	0
nys	1	0	1	0
bcq	0	3	0	2
enm	231	28	21	8
csb	4	3	4	2
nyj	4	0	3	0
oym	1	1	1	1
yle	0	1	0	1
sig	0	3	0	2
nyo	0	1	0	1
hop	20	0	3	0
sid	0	3	0	2
nya	1	18	1	3
hoz	0	1	0	1
sin	52	671	12	33
afr	357	776	27	10
sil	0	8	0	3
bkd	0	4	0	2
lam	1	0	1	0
snd	47	15	14	5
lao	41	232	9	12
lah	7	4	2	2
maw	0	7	0	2
sna	5	16	3	3
lad	32	15	8	8
bkm	0	19	0	3
pri	4	2	1	1
coq	1	0	1	0
snk	4	1	1	1
aoi	1	1	1	1
lac	1	0	1	0
bvz	0	1	0	1
mai	13	7	4	4
lav	1288	8145	44	64
mal	306	1202	28	48
man	15	2	8	1
bar	1	2	1	2
zna	0	3	0	1
ghs	0	1	0	1
gcf	84	22	4	3
lhu	2	30	1	1
dyo	1	7	1	1
xno	10	0	3	0
mjy	1	0	1	0
mgv	1	0	1	0
itl	3	0	1	0
kbc	1	1	1	1
kbd	119	86	14	9
ita	66453	59830	99	108
uvl	0	1	0	1
moz	1	17	1	4
ttc	1	0	1	0
vmw	0	1	0	1
kbp	1	10	1	2
its	0	1	0	1
tsn	0	17	0	2
tso	0	8	0	1
djr	0	1	0	1
hem	0	1	0	1
byv	0	2	0	1
tsg	1	2	1	1
tsc	1	0	1	0
djc	0	4	0	1
gcr	17	8	2	1
tsz	0	2	0	1
kxv	1	0	1	0
pcm	2	0	1	0
fij	1	8	1	2
pcc	0	3	0	1
djk	26	8	3	2
djj	18	9	1	1
fin	8296	46271	63	93
fil	87	150	12	19
eme	1	0	1	0
non	299	1	24	1
dag	1	0	1	0
oku	0	5	0	3
ceb	3	11	2	4
dan	21239	64799	102	92
nog	28	33	9	3
mxp	1	0	1	0
dak	25	23	7	2
oka	1	0	1	0
cko	0	3	0	2
mox	0	1	0	1
kqk	0	1	0	1
ces	17202	64442	77	105
bji	0	1	0	1
dar	83	68	19	10
kkj	0	27	0	3
pjt	2	10	1	3
kfy	1	0	1	0
nor	14530	45923	133	169
ifu	0	1	0	1
ynn	2	0	1	0
gue	0	1	0	1
kpy	6	7	5	1
ify	0	1	0	1
ife	0	45	0	3
pgu	0	1	0	1
nfr	0	10	0	3
cme	3	24	1	4
sot	9	9	4	2
dzg	0	15	0	2
mdm	0	2	0	1
mdf	101	34	9	3
mde	0	6	0	1
bim	0	9	0	2
mar	405	878	25	35
daf	0	5	0	3
mau	6	0	4	0
akp	0	1	0	1
mmn	0	3	0	3
hlb	2	0	2	0
wgg	1	0	1	0
goh	20	4	4	3
nuy	1	0	1	0
blw	0	5	0	3
bkc	3	0	1	0
sms	4	2	3	2
smo	74	141	9	6
smn	1	15	1	4
smj	8	42	6	7
dsh	0	3	0	2
aee	1	0	1	0
hch	1	1	1	1
smd	0	4	0	1
bla	2	4	2	2
snl	1	0	1	0
sma	0	30	0	8
crg	1	0	1	0
ixj	0	1	0	1
dgi	0	6	0	2
mmy	0	2	0	2
bwu	0	4	0	1
ast	73	193	8	18
orv	173	4	29	3
mkd	1592	3901	40	55
ntr	1	8	1	3
lmw	1	0	1	0
glv	1	0	1	0
quc	1	0	1	0
yrk	41	4	5	1
que	37	25	16	14
ork	1	1	1	1
ori	244	752	21	38
bwi	1	0	1	0
aso	0	1	0	1
crh	28	20	5	2
asm	95	526	13	37
pus	60	285	23	14
dgr	2	4	1	1
atd	0	4	0	2
gux	1	0	1	0
atb	0	3	0	1
kij	1	0	1	0
ltz	4	36	2	8
yus	1	0	1	0
wls	2	0	2	0
atj	2	3	1	1
yut	0	1	0	1
cro	3	1	2	1
atv	0	1	0	1
yuk	1	0	1	0
mvc	0	1	0	1
yum	2	0	2	0
ats	1	0	1	0
wln	6	29	2	3
isl	1518	6514	45	41
yua	8	2	4	2
yuc	1	0	1	0
xuo	0	11	0	3
aom	0	1	0	1
rmr	1	4	1	2
kfz	0	12	0	3
vag	0	5	0	3
nhu	0	11	0	3
lat	19240	362	80	35
nhv	2	0	2	0
fmp	0	3	0	1
nhr	0	8	0	2
onw	1	0	1	0
zap	3	0	2	0
yid	1590	89	44	12
kok	4	2	4	2
kom	121	26	10	5
lik	0	1	0	1
kon	9	5	3	2
rmu	0	11	0	1
ukr	2877	4514	74	98
kog	0	1	0	1
koy	1	0	1	0
toh	1	0	1	0
toi	0	2	0	1
ton	29	85	6	7
kos	0	2	0	2
kor	4621	22338	42	46
tog	0	1	0	1
yiz	2	224	1	3
ncx	1	0	1	0
ncz	1	0	1	0
way	2	0	2	0
hub	0	1	0	1
udu	0	2	0	2
nbw	0	1	0	1
hun	11256	54989	63	101
egy	235	0	29	0
nci	63	0	9	0
dyi	0	4	0	2
jbt	1	0	1	0
hur	3	1	1	1
ude	1	0	1	0
oge	11	1	4	1
pqm	2	0	1	0
prq	0	2	0	1
cym	621	2312	23	19
udm	123	37	7	5
beh	0	14	0	2
ben	2223	1878	68	56
bel	1409	1874	51	57
sef	1	0	1	0
ktu	1	1	1	1
nzy	0	1	0	1
see	3	0	1	0
nza	0	1	0	1
aar	0	1	0	1
dts	1	0	1	0
ybb	0	4	0	2
beq	5	0	2	0
bev	1	0	1	0
ktb	0	2	0	1
aaz	0	1	0	1
ane	2	0	1	0
prg	2	0	2	0
ang	147	8	22	4
san	4282	58	72	16
bho	2	0	2	0
sac	2	0	2	0
pro	159	16	20	5
ram	1	0	1	0
sag	3	1	2	1
acd	0	6	0	3
bhy	0	3	0	1
prt	0	5	0	3
anv	0	10	0	2
gia	1	0	1	0
rar	34	78	5	6
sar	1	0	1	0
any	0	7	0	3
sat	3	1	2	1
ark	1	0	1	0
ofs	2	0	2	0
lil	1	0	1	0
lim	0	1	0	1
mic	5	1	2	1
xra	1	0	1	0
xrb	0	12	0	3
lit	1985	15447	66	76
efi	0	2	0	2
liv	3	0	3	0
lnc	0	1	0	1
lis	1	78	1	1
wci	0	3	0	1
rut	0	2	0	2
kab	39	9	2	5
kaa	129	568	10	36
bst	0	1	0	1
kan	314	700	21	33
kam	3	0	1	0
kal	86	327	10	12
kas	24	10	8	5
kaq	2	0	1	0
iws	0	1	0	1
kat	1224	2176	56	67
kaz	948	2454	41	71
tyv	56	164	10	18
pcd	18	10	1	2
awa	2	1	2	1
urd	950	1005	51	56
doi	10	1	5	1
cjv	0	1	0	1
urb	0	2	0	1
doc	0	5	0	1
tpm	0	3	0	3
tpi	1	6	1	2
jbj	0	1	0	1
tpw	1	0	1	0
ckt	33	39	12	4
ext	0	1	0	1
mri	88	319	9	5
abi	0	6	0	2
dos	0	11	0	1
bzj	2	0	2	0
lpa	0	1	0	1
axm	2	0	1	0
pkp	0	1	0	1
abk	171	115	20	15
ojp	15	0	2	0
kus	0	1	0	1
tkl	69	102	5	6
tkw	1	0	1	0
tkr	0	1	0	1
nld	18978	111371	74	123
dbq	0	19	0	3
dga	1	0	1	0
oji	13	25	5	4
oci	452	204	12	13
och	16	0	4	0
ksw	2	0	1	0
pwm	0	1	0	1
nga	0	17	0	4
lua	2	10	2	2
jav	18	0	5	0
ngk	1	0	1	0
jao	1	2	1	1
jam	3	0	3	0
udl	0	2	0	2
jai	3	0	2	0
nez	1	0	1	0
yml	0	1	0	1
ksj	0	1	0	1
mga	12	0	3	0
tbz	1	7	1	1
hit	8	0	3	0
gez	22	1	6	1
ssw	2	16	1	1
kxc	0	7	0	2
mgo	0	4	0	2
tbt	12	3	1	1
tbw	0	3	0	1
abx	0	1	0	1
wlm	5	0	4	0
hid	1	0	1	0
tbl	0	11	0	2
aby	0	1	0	1
ttt	4	0	1	0
hil	2	1	1	1
gen	0	3	0	1
hin	1469	3506	71	69
shp	0	1	0	1
crs	5	0	3	0
gbb	1	0	1	0
bas	2	3	1	1
gba	0	14	0	3
bem	0	1	0	1
unp	3	0	1	0
bay	0	2	0	1
gbr	0	1	0	1
kua	0	2	0	2
cre	117	66	7	7
shh	1	0	1	0
knp	0	9	0	2
bal	5	1	4	1
bam	29	9	3	1
kaw	1	0	1	0
bak	357	502	24	16
shn	3	0	1	0
arp	3	0	2	0
ses	1	0	1	0
sep	0	5	0	2
arx	1	0	1	0
guc	1	0	1	0
nus	1	0	1	0
lns	5	15	1	3
ara	11884	12488	108	82
btg	1	0	1	0
arc	347	3	27	3
are	2	0	1	0
arg	5	64	3	9
ari	4	0	2	0
sel	1	0	1	0
arn	9	1	5	1
seh	0	1	0	1
muw	1	0	1	0
lus	1	0	1	0
dlg	12	0	2	0
ncu	2	6	1	3
muy	0	9	0	1
wol	13	16	3	3
lub	0	2	0	2
irk	1	0	1	0
mua	1	0	1	0
box	0	30	0	3
lug	4	0	1	0
bjt	0	2	0	1
lui	1	0	1	0
acr	4	2	2	1
wob	0	3	0	1
ken	0	11	0	2
tuz	0	3	0	2
kek	0	5	0	3
iku	108	304	16	13
twf	2	0	2	0
tur	2658	11874	62	66
omn	1	0	1	0
tuv	0	1	0	1
tuk	434	741	45	46
omw	0	1	0	1
kea	3	1	1	1
tuo	0	1	0	1
wti	0	2	0	1
tue	1	0	1	0
kjb	3	1	2	1
cop	177	2	23	1
cos	50	50	4	9
cor	9	8	2	3
gwa	1	0	1	0
cot	1	0	1	0
ett	2	0	1	0
gng	0	17	0	3
ilo	3	1	1	1
kjh	29	15	4	2
pdt	6	16	3	6
gwi	1	1	1	1
ilk	0	1	0	1
aho	1	0	1	0
vut	0	3	0	2
kjq	1	0	1	0
coe	0	1	0	1
bet	1	0	1	0
orm	3	0	2	0
let	2	0	2	0
tli	2	0	1	0
tlh	2	1	1	1
com	2	0	2	0
ncf	0	1	0	1
sba	1	0	1	0
gnd	1	7	1	2
kwk	2	0	1	0
por	11390	74721	69	75
poq	1	0	1	0
pol	14104	76720	68	97
sah	153	201	13	15
miq	0	1	0	1
yaq	2	0	1	0
tgk	476	1062	30	55
hag	1	5	1	2
fra	216624	238463	271	301
dum	84	0	11	0
iba	1	0	1	0
swa	65	323	16	13
dua	5	1	3	1
fri	119	118	6	9
swb	1	0	1	0
fro	902	20	37	7
due	0	3	0	1
frm	267	16	22	6
ker	0	10	0	2
yam	0	11	0	4
frr	7	4	3	3
noo	1	0	1	0
frp	1	3	1	1
xal	153	42	15	6
las	0	9	0	1
cbk	1	0	1	0
dje	6	0	1	0
dur	0	1	0	1
mez	1	0	1	0
yaa	3	0	1	0
mwf	0	3	0	1
etr	0	1	0	1
mcm	1	0	1	0
otk	12	0	5	0
nrn	2	0	1	0
ota	16	1	6	1
mcd	2	0	1	0
mcb	5	1	1	1
bav	0	6	0	2
oty	1	0	1	0
hmn	8	30	4	3
yas	0	2	0	1
nna	1	0	1	0
gag	19	15	5	4
mcu	1	12	1	3
gad	0	2	0	2
hmb	3	0	1	0
mcp	0	12	0	2
eip	1	0	1	0
mla	1	0	1	0
fur	8	0	3	0
mlg	32	204	6	13
hat	22	7	3	5
slv	2463	18719	47	63
hdy	0	4	0	2
slm	0	4	0	2
mlp	0	1	0	1
gna	0	8	0	2
slh	3	0	2	0
eus	1021	3923	25	38
mlt	27	86	11	12
slk	4205	19641	49	78
sld	0	15	0	3
lbe	41	65	8	6
ful	20	9	7	3
haw	18	10	2	2
gnn	0	2	0	2
mqb	6	4	1	1
ivb	0	2	0	2
jpn	26921	130893	81	101
bno	0	1	0	1
kho	2	0	2	0
mql	0	2	0	1
fwa	2	0	1	0
vot	0	5	0	3
nnw	0	13	0	3
ivv	1	0	1	0
tzb	0	2	0	1
bov	0	1	0	1
rif	1	0	1	0
ave	17	0	9	0
tzm	49	11	6	3
ava	186	64	34	7
daa	0	17	0	4
pap	6	2	2	2
cjk	1	0	1	0
ewo	1	0	1	0
cjo	2	1	1	1
paw	2	0	2	0
tqo	1	0	1	0
ewe	7	4	2	1
piu	1	0	1	0
pad	0	1	0	1
pag	2	0	2	0
cjs	3	0	1	0
pal	18	0	7	0
pam	1	0	1	0
pan	327	384	18	32
pao	1	0	1	0
nij	1	0	1	0
syb	0	5	0	3
mzw	0	8	0	3
nio	2	0	1	0
mzs	1	0	1	0
kir	708	1528	66	64
uby	1	0	1	0
sln	3	0	1	0
kik	18	0	7	0
syr	252	11	25	6
kio	2	0	1	0
kin	3	4	1	1
dgz	0	1	0	1
mzm	0	1	0	1
rwo	0	1	0	1
niv	11	3	5	1
niu	25	67	6	6
coj	1	0	1	0
knj	1	1	1	1
gsw	27	116	4	10
amx	1	0	1	0
pdc	2	1	1	1
kne	0	22	0	2
epo	99	542	26	37
gsc	11	5	1	1
sjd	1	2	1	1
wya	4	0	1	0
thd	1	11	1	2
lin	13	20	1	5
tha	215	1227	25	21
adj	0	4	0	2
xed	0	5	0	3
mfe	9	9	2	4
xeb	1	0	1	0
tcy	2	0	2	0
mfh	0	1	0	1
mfi	0	1	0	1
mmu	0	2	0	1
tcs	2	0	2	0
gde	1	14	1	2
nou	0	1	0	1
mif	1	26	1	3
tcb	1	0	1	0
tca	3	2	1	1
cuv	1	0	1	0
gmh	595	15	33	6
ell	4862	27422	49	63
gml	2	0	2	0
ady	75	50	4	5
apr	0	1	0	1
haz	0	1	0	1
ess	1	0	1	0
ska	2	0	2	0
bnc	0	13	0	2
cul	1	1	1	1
cuk	3	0	2	0
hau	9	53	3	7
naw	0	1	0	1
amh	58	317	15	12
psh	1	0	1	0
psi	4	3	2	1
amm	0	1	0	1
bik	0	2	0	2
mos	4	3	1	2
mor	2	0	1	0
bib	0	12	0	3
mov	1	1	1	1
khq	1	0	1	0
grn	9	2	4	2
moh	3	0	2	0
mon	244	2423	34	70
mol	2864	3720	37	76
biv	0	4	0	1
opm	0	1	0	1
moa	0	2	0	1
kwn	0	1	0	1
bis	2	2	2	2
moe	2	0	2	0
wbp	16	9	2	3
mhg	2	0	2	0
xsb	0	1	0	1
bps	0	11	0	1
bpr	0	1	0	1
wbl	0	1	0	1
wbm	0	28	0	2
xsm	1	37	1	4
kac	0	66	0	3
kdh	0	11	0	4
kdd	1	0	1	0
lut	1	0	1	0
apm	1	0	1	0
olo	0	3	0	2
tvl	0	1	0	1
ijc	1	0	1	0
wwa	0	22	0	4
gjn	0	3	0	2
yka	0	1	0	1
est	5739	20605	60	104
ykg	21	1	3	1
kmb	0	2	0	2
kma	0	4	0	1
jgo	0	2	0	1
nen	4	0	2	0
chr	3	3	2	3
kmh	0	1	0	1
kmw	0	7	0	2
peo	11	0	6	0
uma	0	1	0	1
ddn	0	1	0	1
tmh	27	1	6	1
fon	1	8	1	2
ape	0	1	0	1
ifa	0	4	0	3
plw	3	2	3	2
run	3	0	1	0
cgc	0	4	0	2
rug	0	7	0	2
iai	1	0	1	0
tdd	0	2	0	1
hss	1	0	1	0
xua	1	0	1	0
chk	0	1	0	1
rus	101395	82772	160	180
rup	5	9	5	6
bss	0	5	0	3
pli	400	0	42	0
bbj	0	3	0	1
obo	0	4	0	3
mhu	1	0	1	0
ylr	1	0	1	0
acf	3	3	2	3
ndo	1	4	1	2
sre	1	0	1	0
ach	3	0	3	0
srn	35	13	2	2
dzo	1	0	1	0
srm	25	3	1	1
srr	0	4	0	1
srs	1	0	1	0
kri	1	1	1	1
krl	23	7	7	5
sru	1	0	1	0
krc	141	103	18	10
idd	0	2	0	2
mhq	2	0	2	0
zun	3	0	2	0
ayt	0	2	0	1
zul	19	23	3	1
xnn	0	1	0	1
nsk	1	0	1	0
mbi	0	3	0	1
sog	1	0	1	0
nso	0	10	0	1
mbd	0	10	0	1
swe	39192	71688	91	98
sok	0	8	0	2
bsk	1	0	1	0
som	26	102	7	11
mba	0	1	0	1
mbb	0	1	0	1
bbb	0	1	0	1
sor	0	14	0	3
swg	2	21	2	5
aht	1	0	1	0
mbt	0	2	0	1
bmy	0	1	0	1
nss	1	0	1	0
mbs	0	5	0	1
lob	0	1	0	1
frs	3	4	1	4
wal	0	1	0	1
log	0	3	0	1
her	1	3	1	2
yrb	0	1	0	1
yre	0	2	0	2
lol	1	0	1	0
mkw	0	5	0	4
loq	0	2	0	1
heb	9889	10961	211	49
vas	0	1	0	1
rcf	35	16	2	4
gil	1	0	1	0
war	0	1	0	1
att	0	1	0	1
wap	1	3	1	1
wni	0	1	0	1
buu	0	3	0	1
sda	1	0	1	0
bul	3667	25742	59	81
bum	2	2	1	1
mym	0	8	0	2
bua	128	47	10	3
bug	1	0	1	0
mtp	0	3	0	1
aze	774	1658	38	60
cim	0	2	0	1
duu	0	1	0	1
zha	0	101	0	1
azz	1	0	1	0
dji	0	1	0	1
azr	0	1	0	1
mta	0	16	0	2
arw	1	1	1	1
mtg	0	1	0	1
zho	13337	62650	101	75
pil	0	2	0	1
uig	81	1488	11	27
nnh	0	15	0	2
pia	2	0	2	0
pib	1	1	1	1
sxn	0	1	0	1
myv	70	32	7	3
cbs	1	0	1	0
piz	2	0	1	0
ino	0	1	0	1
inh	51	54	4	4
khm	51	231	6	15
cbt	0	1	0	1
sxw	0	1	0	1
mya	60	274	12	15
kha	3	0	2	0
pir	0	1	0	1
pis	0	1	0	1
ina	0	3	0	1
bba	0	4	0	1
tiy	0	2	0	2
tiz	0	145	0	3
kqy	0	6	0	3
tiw	0	6	0	2
tir	1	74	1	13
nap	11	0	6	0
naq	0	1	0	1
nav	14	13	4	1
grc	17342	22	388	8
kqe	0	10	0	2
tik	0	19	0	3
naz	1	0	1	0
scl	1	0	1	0
nay	0	2	0	2
yor	21	28	5	5
tpr	1	0	1	0
bkb	0	1	0	1
pau	0	4	0	2
esu	2	0	1	0
squ	2	0	1	0
gcc	1	0	1	0
sqi	1424	6757	37	54
axk	0	7	0	4
gvn	0	1	0	1
dhv	1	0	1	0
agt	0	9	0	2
bci	1	0	1	0
bcj	0	1	0	1
hni	0	12	0	2
bca	0	2	0	1
hnn	0	1	0	1
hns	22	2	1	2
dyu	4	6	1	4
agx	0	1	0	1
bcw	0	7	0	3
agr	1	1	1	1
agq	0	6	0	2
