Code	Language	Prim.+Sec. Speakers	Editors (5+) per M speakers	Views per hour	Article count
gu	Gujarati	46 M	0.3	"1,567"	"22,141"
gv	Manx	2 k	1765	580	"4,043"
ha	Hausa	39 M	0	114	304
hak	Hakka	34 M	0	267	"2,278"
haw		27 k	37	179	"1,884"
he	Hebrew	10 M	73	"60,834"	"136,609"
hi	Hindi	550 M	0.1	"9,146"	"94,796"
hif	Fiji Hindi	460 k	30	586	"9,712"
hr	Croatian	6 M	27	"23,510"	"114,350"
hsb	Upper Sorbian	40 k	175	585	"7,398"
ht	Haitian	12 M	0.2	"1,156"	"53,624"
hu	Hungarian	15 M	41	"54,553"	"220,126"
hy	Armenian	6 M	10	"2,744"	"26,650"
ia	Interlingua	300	20000	"1,116"	"13,640"
id	Indonesian	250 M	1	"70,125"	"367,722"
ie	Interlingue	-	-	249	"1,923"
ig	Igbo	22 M	0	484	696
ik	Inupiak	2 k	0	86	368
ilo	Ilokano	10 M	0.3	696	"4,249"
io	Ido	3 k	2000	"1,549"	"23,553"
is	Icelandic	320 k	194	"3,258"	"34,312"
it	Italian	70 M	42	"660,325"	"943,700"
iu	Inuktitut	30 k	33	133	393
ja	Japanese	132 M	30	"1,650,585"	"818,930"
jbo	Lojban	-	-	317	"1,136"
jv	Javanese	80 M	0.8	"2,248"	"48,456"
ka	Georgian	4 M	15	"6,365"	"58,118"
kaa	Karakalpak	410 k	5	155	590
kab	Kabyle	8 M	0.2	163	"1,297"
kbd	Karbadian	2 M	2	134	886
kg	Kongo	7 M	0.1	120	690
ki	Kikuyu	5 M	0.6	76	252
kk	Kazakh	12 M	5	"4,284"	"125,175"
kl	Greenlandic	50 k	20	533	"1,581"
km	Khmer	18 M	0.6	560	"3,642"
kn	Kannada	47 M	0.4	"1,631"	"12,420"
ko	Korean	78 M	9	"74,756"	"207,246"
koi	Komi-Permyak	94 k	11	177	"3,401"
krc	Karachay-Balkar	-	-	329	"1,756"
ks	Kashmiri	5 M	0	91	131
ksh	Ripuarian	250 k	12	448	"2,669"
ku	Kurdish	26 M	0.6	"1,324"	"18,698"
kv	Komi	293 k	10	307	"3,278"
kw	Cornish	245	16327	409	"2,420"
ky	Kirghiz	5 M	8	676	"10,216"
la	Latin	-	-	"4,154"	"76,207"
lad	Ladino	109 k	28	348	"2,876"
lb	Luxembourgish	390 k	95	"2,540"	"36,487"
lbe	Lak	120 k	0	154	"1,201"
lez	Lezgian	784 k	17	167	813
lg	Ganda	10 M	0	65	162
li	Limburgish	2 M	4	828	"7,007"
lij	Ligurian	2 M	2	311	"2,899"
lmo	Lombard	3 M	3	"1,042"	"27,037"
ln	Lingala	25 M	0	279	"1,836"
lo	Laotian	5 M	0.2	248	"1,376"
lt	Lithuanian	4 M	29	"15,082"	"151,868"
ltg	Latgalian	150 k	13	114	833
lv	Latvian	2 M	42	"5,592"	"42,545"
map-bms	Banyumasan	14 M	0.1	503	"13,090"
mdf	Moksha	500 k	4	162	"1,207"
mg	Malagasy	20 M	0.2	"1,002"	"37,952"
mhr	Eastern Mari	300 k	23	437	"3,250"
mi	Maori	157 k	0	450	"7,026"
mk	Macedonian	3 M	17	"5,024"	"57,103"
ml	Malayalam	37 M	2	"3,782"	"24,812"
mn	Mongolian	5 M	3	"1,072"	"8,242"
mr	Marathi	90 M	0.4	"4,054"	"37,239"
mrj	Western Mari	300 k	7	255	"5,141"
ms	Malay	300 M	0.2	"14,714"	"138,077"
mt	Maltese	370 k	8	741	"2,981"
mwl	Mirandese	15 k	67	395	"1,285"
my	Burmese	52 M	0.3	955	"16,077"
myv	Erzya	500 k	0	208	"1,532"
mzn	Mazandarani	4 M	2	440	"8,450"
na	Nauruan	6 k	167	170	717
nah	Nahuatl	1 M	4	755	"8,634"
nap	Neapolitan	8 M	0.3	627	"13,609"
nds	Low Saxon	10 M	1	"1,276"	"19,336"
nds-nl	Dutch Low Saxon	10 M	0.7	597	"4,812"
ne	Nepali	30 M	0.5	"1,012"	"21,763"
new	Nepal Bhasa	800 k	0	920	"71,216"
nl	Dutch	27 M	52	"231,399"	"1,051,640"
nn	Nynorsk	5 M	11	"5,585"	"85,137"
no	Norwegian	5 M	107	"49,884"	"338,432"
nov	Novial	-	-	340	"2,644"
nrm	Norman	-	-	423	"3,518"
nso	Northern Sotho	4 M	0.2	91	612
nv	Navajo	178 k	11	305	"2,402"
ny	Chichewa	9 M	0	75	148
oc	Occitan	2 M	13	"3,393"	"61,170"
om	Oromo	26 M	0	103	295
or	Oriya	31 M	0.7	481	"2,754"
os	Ossetic	520 k	10	783	"8,709"
pa	Punjabi	104 M	0	421	"3,737"
pag	Pangasinan	2 M	0	207	"3,520"
pam	Kapampangan	3 M	1	621	"7,651"
pap	Papiamentu	329 k	9	222	"1,290"
pcd	Picard	-	-	189	"2,035"
pdc	Pennsylvania German	250 k	8	276	"1,787"
pi	Pali	-	-	192	"3,158"
pih	Norfolk	600	1667	115	385
pl	Polish	43 M	35	"477,972"	"905,542"
pms	Piedmontese	2 M	4	753	"50,344"
pnb	Western Panjabi	60 M	0.1	"1,008"	"24,846"
pnt	Pontic	325 k	3	111	357
ps	Pashto	26 M	0.4	794	"4,589"
pt	Portuguese	290 M	5	"518,396"	"728,543"
qu	Quechua	10 M	0.6	"1,656"	"17,153"
rm	Romansh	35 k	143	339	"3,361"
rmy	Romani	2 M	0	138	529
rn	Kirundi	5 M	0	63	184
ro	Romanian	28 M	12	"33,859"	"181,544"
roa-rup	Aromanian	300 k	3	319	"61,764"
roa-tara	Tarantino	900 k	3	309	"9,140"
ru	Russian	278 M	16	"979,640"	"873,516"
rue	Rusyn	600 k	3	367	"3,651"
rw	Kinyarwanda	12 M	0.1	211	"1,806"
sa	Sanskrit	50 k	200	616	"8,890"
sah	Sakha	456 k	9	685	"8,345"
sc	Sardinian	2 M	1	343	"2,895"
scn	Sicilian	8 M	0.6	"1,375"	"18,016"
sco	Scots	2 M	5	"1,066"	"9,466"
sd	Sindhi	41 M	0	107	504
se	Northern Sami	20 k	250	843	"4,895"
sg	Sangro	3 M	0	76	179
sh	Serbo-Croatian	23 M	1	"6,756"	"59,080"
si	Sinhala	19 M	0.8	892	"9,158"
simple	Simple English	1500 M	0.1	"13,848"	"82,182"
sk	Slovak	7 M	22	"21,694"	"174,454"
sl	Slovene	2 M	72	"12,846"	"133,141"
sm	Samoan	370 k	3	106	457
sn	Shona	7 M	0.4	216	"1,132"
so	Somali	14 M	0.7	480	"2,686"
sq	Albanian	6 M	9	"3,526"	"42,873"
sr	Serbian	12 M	19	"15,332"	"161,673"
srn	Sranan	300 k	0	112	933
ss	Siswati	3 M	0	125	372
st	Sesotho	5 M	0	90	155
stq	Saterland Frisian	2 k	2000	377	"2,684"
su	Sundanese	27 M	0.1	"1,419"	"17,371"
sv	Swedish	10 M	80	"110,068"	"720,737"
sw	Swahili	50 M	0.2	"2,154"	"24,127"
szl	Silesian	56 k	54	530	"2,351"
ta	Tamil	66 M	1	"6,128"	"47,339"
te	Telugu	80 M	0.4	"2,679"	"51,315"
tet	Tetum	800 k	0	164	661
tg	Tajik	4 M	1	661	"10,455"
th	Thai	73 M	4	"75,103"	"74,430"
ti	Tigrinya	7 M	0	71	228
tk	Turkmen	9 M	0.2	419	"4,964"
tl	Tagalog	90 M	0.4	"13,169"	"56,196"
tn	Setswana	4 M	0	90	499
to	Tongan	105 k	10	204	"1,677"
tpi	Tok Pisin				
tr	Turkish	70 M	7	"141,043"	"190,698"
ts	Tsonga	3 M	0.3	92	218
tt	Tatar	8 M	1	"1,344"	"15,784"
tum	Tumbuka	2 M	0	68	146
tw	Twi	15 M	0.1	73	134
ty	Tahitian	120 k	0	113	879
udm	Udmurt	550 k	4	271	"3,062"
ug	Uyghur	10 M	0.1	362	"3,388"
uk	Ukrainian	45 M	15	"44,854"	"389,925"
ur	Urdu	60 M	0.3	"1,845"	"19,121"
uz	Uzbek	24 M	0.5	"1,551"	"16,599"
ve	Venda	875 k	0	76	202
vec	Venetian	2 M	3	873	"9,494"
vep	Vepsian	6	1000000	189	"1,759"
vi	Vietnamese	80 M	4	"52,390"	"441,788"
vls	West Flemish	1 M	3	486	"4,454"
vo	VolapŸk	20	300000	"1,574"	"119,009"
wa	Walloon	600 k	5	587	"12,917"
war	Waray-Waray	3 M	2	"2,878"	"110,359"
wo	Wolof	4 M	0.3	226	"1,152"
wuu	Wu	77 M	0	"1,044"	"3,109"
xal	Kalmyk	174 k	0	288	"1,834"
xh	Xhosa	8 M	0.1	81	146
yi	Yiddish	3 M	2	897	"10,321"
yo	Yoruba	25 M	0.2	"1,259"	"30,035"
za	Zhuang	14 M	0.1	159	636
zea	Zealandic	220 k	14	203	"2,911"
zh	Chinese	1300 M	2	"349,538"	"479,502"
zh-classical	Classical Chinese	-	-	"1,251"	"2,743"
zh-min-nan	Min Nan	49 M	0.1	934	"9,929"
zh-yue	Cantonese	71 M	0.4	"4,585"	"20,913"
zu	Zulu	26 M	0.1	165	607
