name	num.exp	num.users	avg.exp.per.user	num.exp.by.polys	num.polys	avg.exp.per.poly	total.users	total.polys
kas	475	5	95	111	3	37	763665	79442
ilo	9093	10	909.3	6149	4	1537.25	763665	79442
sqi	185950	597	311.474036851	96183	300	320.61	763665	79442
hau	75	2	37.5	0	0	0	763665	79442
kin	143	6	23.8333333333	100	5	20	763665	79442
kau	13	1	13	13	1	13	763665	79442
kat	221929	400	554.8225	68860	129	533.798449612	763665	79442
lat	321104	480	668.966666667	125838	322	390.801242236	763665	79442
kaz	187354	355	527.757746479	36531	64	570.796875	763665	79442
lav	144313	542	266.260147601	72411	165	438.854545455	763665	79442
mal	306335	534	573.661048689	120289	236	509.699152542	763665	79442
urd	165128	162	1019.30864198	22415	68	329.632352941	763665	79442
bod	6238	39	159.948717949	312	3	104	763665	79442
tpi	3622	17	213.058823529	2837	12	236.416666667	763665	79442
epo	448534	795	564.193710692	255012	485	525.797938144	763665	79442
ext	8984	8	1123	8792	6	1465.33333333	763665	79442
glv	245	8	30.625	93	4	23.25	763665	79442
jbo	10681	34	314.147058824	8722	18	484.555555556	763665	79442
tha	860329	2354	365.475361088	414529	492	842.538617886	763665	79442
fao	6794	46	147.695652174	3870	24	161.25	763665	79442
