	Country	Languages
202	Uzbekistan	Uzbek: 74.3%, Russian: 14.2%, Tajik: 4.4%
203	Vanuatu	English: 2%
204	Venezuela	Spanish: 100%
205	Vietnam	Vietnamese: 100%
206	Virgin Islands, U.S.	English: 74.7%, Spanish: 16.8%, French: 6.6%
207	Wallis and Futuna	French: 10.8%
208	Western Sahara	Arabic: 100%
209	Yemen	Arabic: 100%
210	Zambia	English: 1.7%
211	Zimbabwe	English: 100%
