! ! ! ! ! ! ! ! ! ! ! ! ! ! !	zho,7
! ! ! ! ! ! ! ! ! ! ! ! ! !	zho,8
! ! ! ! ! ! ! ! ! ! ! ! !	zho,30
! ! ! ! ! ! ! ! ! ! ! !	zho,7
! ! ! ! ! ! ! ! ! ! !	zho,5
! 0lm	deu,252
! aağa !	tur,31
! ari-ari-ari !	jpn,7
! biswas amitava !	eng,11
! danskammelsrod !	spa,9
! kaiser	sqi,5
!! db	eng,6
!!!!! lesen !!!!!!	deu,5
!!!!!!!!!!!!!!!!!!!cammellobello	ita,10
!!!!!adeen!!!!!	fin,365
!!!!akamcia	pol,111
!!!alert!!!	ces,13
!!!desperados!!!	deu,5
!!!dr.gaio!!!	ita,10
!!!lolersk8!!!	eng,7
!!!whus!!!	ita,60
!!!	jpn,82
!!!להלהלה!!!	heb,6
!!2011worldprotests!!	eng,49
!!8uyvasdaw	eng,8
!!archie!!	eng,89
!!gnikmra	eng,10
!!house down!!	eng,70
!!lokastory	fra,9
!!mese!!	fin,9
!!onpu	jpn,11
!!sgott	eng,28
!!suzzy!!	tur,602
!!viewcountfun1	eng,145
!!wawawiwa!!	eng,37
!!weed!!	jpn,12
!!wrewe	jpn,5
!!yeahman!!	deu,6
!!	jpn,3	eng,1448
!&quot;£$	eng,8
!*!jodie-2007!*!	eng,5
!-!z3ta!-!	spa,11
!---slappdash---!	eng,128
!--mk--!	fra,8
!-artmaster	rus,2	ukr,216
!.!.1	heb,14
!157	jpn,6
!1bhansen	eng,15
!1qqaazz	eng,6
!51hans	deu,98
!? $prain me!	eng,6
!abacus	ita,6
!achtung!	hbs,42
!adrianzen25	spa,7
!alfredo	fra,7
!arrizog	eng,23
!astep	ita,18
!aunbos	eng,7
!bamitsolly!	eng,5
!barmaid	fra,13
!bfvinfo	deu,15
!blardi	eng,5
!bob+2!07	eng,7
!c to the m!	eng,9
!computeralert!	eng,151
!culturauniversal™	spa,12
!darkfire!6'28'14	eng,364
!do'worix	rus,7
!dragon	eng,28
!eddo0!	spa,8
!eebdfg	jpn,7
!exp	ita,22
!fedk	por,6
!flame! br	rus,5
!frbzh	fra,5
!gangsta g home dogg	eng,12
!general4death!	deu,8
!hazel!	eng,10
!hoax	fin,7
!ilgotah	jpn,6
!jamieimaj!	eng,26
!jim	eng,208
!jrb	eng,9
!k!r!u!x!	deu,80
!lee!	lav,11	eng,3
!llu$ion^	por,12	eng,18
!mcbloobyenstein!!	eng,19
!melquiades	eng,168
!mm0	rus,41
!mnc99	eng,71
!monkey!	eng,5
!musiclova!	eng,9
!my password is vand!	jpn,8
!ndream	eng,8
!normsl1ku	fra,38
!notrub!	eng,34
!paradigm!	eng,256
!penz¡	ita,150
!php!	msa,74
!powa	ita,10
!pso	fra,87
!qwerty789	jpn,6
!rick	deu,33
!ronstone	eng,71
!r¡€	spa,187
!saturdaynightwrist	eng,8
!sayhello	hun,60
!seakingdood	eng,7
!seakingman	eng,18
!sergejmaksimovfromlatvia	eng,5
!sethgash!	eng,7
!silent old	fra,8
!silent	fra,10	ita,14	por,23932	deu,9	eng,85
!sln-btsts!	tur,28
!spencer!new	eng,5
!spoodem	eng,9
!tch!	rus,7
!the!bear!max!	eng,7
!vezzo! ll10	ita,4	eng,6
!wake up aryans	fas,24
!waraz!	fin,8
!ww	jpn,6
!x0bile	eng,9
!xo derek	eng,22
!xoshizzle	eng,25
!xxnemethxx!	eng,5
!yantit!	deu,15
!yesmelissa!	eng,5
!zero!	deu,5
!	slv,15	deu,7	heb,4	eng,97
!糊涂	zho,56
!センマ	jpn,8
&amp;sigmaf;:-&amp;zeta;)&amp;xi;	fra,33
&amp;é&quot;'(-è çà)=	fra,13
&lt;dvanw&gt;	fra,6
&quot;&quot;	eng,20
&quot;7ï&amp;Ç!-!ôū&quot;	fra,5
&quot;alyosha&quot;	eng,587
&quot;anyone&quot; can edit?...well, alright!!	eng,10
&quot;cethegus&quot;	deu,31
&quot;country&quot; bushrod washington	eng,1629
&quot;d&quot;	eng,615
&quot;dance magic show1&quot;	eng,6
&quot;download from a parkbench&quot;	eng,7
&quot;dr.&quot; kernwein	eng,13
&quot;emily-xd&quot;	fin,9
&quot;gothic jj&quot;	fra,10
&quot;honest&quot; kid	eng,5
&quot;in avos' we trust&quot;	rus,3	eng,3
&quot;inkhaw&quot;	tha,44
&quot;jamy&quot; jen &amp; amy	eng,15
&quot;jans322	eng,22
&quot;jerk, beefy!&quot;	eng,90
&quot;john&quot; 7hjg8	eng,7
&quot;kp&quot;	eng,15
&quot;lenrenberg&quot;	fin,21
&quot;magic in the moonlight&quot;	eng,6
&quot;moo&quot; he thought	eng,6
&quot;napulitano&quot; per forza	nap,15
&quot;nos dessins animés 70-80&quot;	fra,9
&quot;pana-da beast&quot;	eng,5
&quot;primitive revolutionaries of china	eng,71
&quot;r dub 54&quot;	eng,6
&quot;ramu&quot; ramakrishna reddy	eng,18
&quot;runter vom gas!&quot;	deu,6
&quot;slim&quot; jim swenson	eng,5
&quot;song (reprise)&quot;	eng,6
&quot;sonntag&quot;	dan,5
&quot;stone cold&quot; steve austin	por,15
&quot;the eagle&quot; dynamite	fra,66
&quot;the game&quot;tripleh	rus,23
&quot;the insane&quot; mikeal ranes	eng,6
&quot;the&quot; trev	eng,10
&quot;tuna75&quot;	fin,5
&quot;weird al&quot; yankovic	eng,9
&quot;wrong is right&quot; band	rus,8	ukr,2
&quot;yes&quot;rhyme-dentity	jpn,15
&quot;	zho,17	eng,27
&quot;Відлуння віків&quot;	ukr,38
' rtnjkk()	eng,8
'' soul explorer&quot;	eng,5
''ak'' (the rapper)	eng,12
''christoper jones''	eng,8
''latino heat'' eddie guerrero	eng,16
''rapunzel''	zho,5
''Кенгуру''	ukr,56
'); drop table en user	eng,14
'63 chesapeake	eng,19
'73 rally sport camaro	eng,5
'74 jailbreak	eng,15
'91 hermit	pol,17
'95twincam	eng,11
'a kiskiralylány'	hun,8
'abd al qayyum	fra,37
'agger	sag,42
'akwprejv	eng,22
'althoof knock out'	eng,5
'alucard!	fra,23
'angel'	eng,17
'aq-n-itn	spa,170
'arry boy	eng,881
'av some of that	eng,7
'blaze'	eng,7
'cause it's no good	eng,13
'cien	fra,37
'ey gringo!	eng,21
'felipe uchiha'	spa,19
'ff'lo	eng,27
'flow	eng,23
'fritz'	deu,82
'horns06	eng,10
'ilmulhaq	eng,10
'inyan	fra,39332	heb,33	eng,56
'ivan	eng,277
'iw 'ip ghomey	eng,10
'jn its hi 4	eng,6
'katcookie'	eng,9
'kill-kount' ollie	eng,7
'king steez' one	eng,5
'matt'hieu phar'matt'ien	fra,8
'merikan	eng,45
'meyers01	nld,6
'ncilu	scn,7
'ndrangheta	eng,20
'niloticus	fin,54
'o salentino	ita,7
'o'	eng,5
'o. la zagna	lat,3	ita,2	bul,11	eng,2
'orghenya'	eng,10
'ow do?	eng,12
'oy'dasiqjaj	eng,5
'rogis	rus,5
's jörgl	deu,9
's-gravenhage	eng,31
'sed	eng,48
'splodey star	swe,36	eng,22
'sup, bud	eng,7
'sweat'inge	eng,8
'the jps	eng,14
'til i see some nakedbitċhesdancin'arounddrunktouchin'eachother	spa,15	rus,4	jpn,4
'tis of thee	eng,7
'titotor	fra,11
'uggoth	eng,18
'ville.09	spa,2147	eng,42
'zakath	eng,19
'zaubererauaachen	deu,7
'Āpiki	swa,2	haw,86	eng,5
'לודז	deu,7
( (( sepoo ()	spa,23
( == : mybigfatjewishnose	eng,7
( ^ω^)	jpn,14
( b.althubaiti ( ksu - 21354 - 91	ara,13
( o o )	fra,45
( ô ô )	fra,12
($string)freund	deu,6
((((( radar )))))	deu,8
((00six00))	eng,5
((149470r	eng,8
((er elias))	spa,5
((pagename)), get the fuck out before i blast you, motherfucker!	deu,7
((المحيني))	ara,11
()	fin,9
(*'-')ノゆうか	jpn,24
(*'д'*)	jpn,38
(*)gfnewton(*)	eng,10
(*)idontknow(*)	eng,7
(- -;	jpn,6
(-:12bob21:-)	eng,12
(-bcm-)	glg,29
(. j) a r g o n e l l e	eng,82
(.y.)	eng,10
(127.0.0.1)	deu,673
(14$h	heb,4	eng,24
(15demoman)	eng,12
(1989) Братья Стояловы	rus,16	epo,2
(3) livonia ave. local	eng,86
(3ucky(3all	eng,152
(50cent)	ara,1373
(7x7)-2	eng,5
(:killroyt	eng,8
(:pro:)	rus,7
(;d- hymyilevä takapiru	eng,25
(= =)	eng,26
(= ben hamid =)	eng,6
(=flowissen=)	deu,68
(=s=)	spa,23	fra,373
(^0 0^)	jpn,6
(^∀^)	jpn,6
(`ヽ´まか)	jpn,8
(`･ω･´)	jpn,22
(a) döme (a)	deu,6
(a)	jpn,282	eng,2
(aeropagitica)	eng,23876
(alfishstick)	eng,6
(anonyme)	fra,468
(anonyme1)	fra,62
(anonyme2)	fra,131
(az)xeus	eng,29
(ba) molnár dániel	hun,8
(babylon)	deu,30
(background)	deu,130
(bbk)blade	rus,30
(bidwell) 96	eng,6
(borttagen användare1)	swe,9
(boxed)	fin,1645	eng,37
(boy+girl123)	eng,6
(c(	jpn,10
(c) winter-olympic-memories	jpn,51
(c4) su1c1de b0mber	eng,5
(ch) rafael	deu,10	eng,5
(chubbstar)	eng,1519
(ck)lakeshade	eng,9803
(cypsy)	dan,2	deu,32
(cz)genius	ces,6
(dammi).irque.uoc	sin,101
(dch)grandragon	eng,11
(de):athanasian	deu,3	eng,12
(default)	slk,10
(didie)	eng,170
(dilrukshi).irque.uoc	sin,51
(domo 96)	deu,26
(e = mc²)	ita,45
(eemia)	fas,14
(ej)	hun,17
(et)t	fra,740	eng,9
(flagga)	swe,10
(galaxymaster)	rus,8
(garbage mad fan)	ita,9
(gd)	pol,271	deu,6	eng,30
(harry)	pol,9
(hun)villy	eng,333
(ice)king	eng,7
(ilm)d y	fra,16
(in)c0d3r	eng,17
(infinite)	eng,5
(insert name here)	eng,28
(insert username here)	eng,5
(jarbarf)	eng,5161
(jubi-net)	deu,7
(just can't get) enough	ita,6
(k)omafalke	deu,64
(killers are quiet)	eng,21
(l)fabiana(l)	spa,5
(leet) terrorist	eng,7
(lk)	ces,5
(mainzer)	eng,9
(malysh) mmjeschjerjakoff	rus,8
(mnpnilu).irque.uoc	sin,100
(mob)deadmeat	eng,24
(mockingbirds-x)	eng,29
(monica journey)	eng,8
(ms)	deu,11	eng,5
(nazi) adolf hitler	dan,10
(needs) sir help-a-lot	eng,8
(nepumuck)	deu,9
(nie)wszystko wiedzący	pol,9
(nor)drop	por,14
(npcserver)	eng,49
(o o)eh...username?	est,19
(o)	deu,5
(o*δ ゛δ)o ・・	jpn,17
(o.o)eh...username	est,2	eng,3
(o.o)	slk,12
(order.) chaos	eng,18
(pavlovschii andrei)	ron,16
(prk) awesome	eng,18
(prk) beast	eng,7
(prk) ontherun	eng,58
(ps)	deu,95
(r)	slk,5
(removed)	eng,14
(rinominato)	ita,7
(roteirista) dedo	por,109
(références nécessaires)	fra,61
(s)aint	dan,33
(sami al-abdgdr(sgp2010	ara,72
(sic)98	eng,15
(sic)maggot	rus,25
(sic)	eng,8
(sk)	hun,371
(slyr)bleach	eng,11
(sock) doc	eng,5
(t t) lonelygirl09	eng,7
(tera) michael balogun	eng,6
(thai)q123	tha,2	eng,4
(the real) caswell berry	eng,6
(the real)recreate	eng,16
(to)	ita,2	eng,25
(turnip)	eng,26
(tyrone)	eng,48
(v+9)(v+14)	jpn,52
(void*)	eng,25
(wik)	eng,12
(worship me)	eng,8
(www itshixun com)gaoxiaozu	zho,13
(zod) ph34r3d	eng,10
(	nld,4	eng,2697
(¯`·. ·phoenix·. .·¯)	fra,406
(°u°)	deu,7
(ô ô)	fra,6
(み)	jpn,13
(榮)	jpn,528
(株)ぶられ。裏会長	jpn,5
(株)チェリーブロッサム	jpn,6
(사)캐릭터디자이너협회	kor,9
(せ^ω^ )	jpn,6
(゜o゜)	jpn,387
(ملك عالم الغرام) ريان	ara,31
(지금은) 소년시대	kor,1941	eng,191	slk,9
(・肉・)	jpn,18
(שיחה תרומות)	heb,5
(関西地方)	jpn,34
(∑□Δ□	jpn,7
)(cyberj)(	rus,24
)(cö!dfirê)(	spa,10
))ecb((	eng,43
)-(yphen	deu,7
)3uthead	eng,8
)avova(	eng,17
)ft(tkix%d((z(iosddti%%	fin,2241
)hussein(10	fra,314
)pit(	pol,12
)	epo,2085
)хокер(	rus,482
* *	heb,11	eng,2
* and obelisk	deu,11	msa,4	eng,64
* choke	por,5
* jessica***17	eng,5
* robiert *	pol,10
* Настурция *	rus,6
*$marie*night*fox$*	eng,135
** hµgö cöstä **	spa,4	por,85	ita,5
** علي العُمَري **	ara,54
************************************	jpn,7
******hamsterzilla	fra,5
*****	jpn,7
***latour***	deu,11
***lionboy***	tur,10
***maxi005***	spa,17
***ria777***	eng,181
***ria777	eng,3833
***sparklin***	eng,5
***sth***	deu,39
***thegothic***	pol,7
***	fra,11
**amy&amp;lyn&amp;lee**	tur,19
**au**	deu,5
**christa	nld,5
**d**pontifex**s**	deu,5
**dani**	ita,5	eng,10
**dave**	eng,373
**dnzbrk**	tur,5
**dreamraper**	eng,10
**ellie**	ita,5
**fdas	eng,5
**jdp**	spa,24
**jmeljefe**	eng,12
**klantopia**	spa,54
**macph***	eng,25
**mech**	eng,141
**nymphadora**	spa,6
**rs**2009	rus,8	deu,2	eng,41
**ultrawikiwizard**	eng,5
**yvonne**	por,11
**§(ªrzetª)§**	spa,8
**Роши**	rus,15
*+*chickennoodlesoup*+*	eng,10
*-martin	deu,7
*-來歌-*	jpn,11
*0ookubo*	jpn,34
*1900g76bdy*	spa,3	eng,45
*62	eng,7
*70-103-110-1224j	eng,19
*8*8*	eng,15
*::3coco::kitty3::*	eng,5
*=*=*	deu,23
*a2*	ara,6
*abc*	deu,241	eng,68
*abcd*	eng,37
*aceman 2500	eng,12
*adam*	eng,8
*adrifermusic	spa,6
*aeternicus*	eng,6
*alby*	ita,985
*alex-carpediem*	spa,5
*andzel*	pol,17
*annie	spa,330
*athanasia*	ita,7
*aurora	deu,106
*aussie*	mkd,19
*bigman*	rus,48
*biker*	deu,6
*bj*	eng,110
*bloodspiller*	eng,48
*bow*ner*	eng,13
*bow-ner*	eng,8
*boyru*	rus,3	eng,2
*brew	msa,49	eng,10
*bsportlerb*	deu,48
*bungo*	pol,8
*buscando latas***	spa,5
*bytewurm	deu,98
*c*micha*f*	ara,7
*camisado*	eng,19
*captain jack sparrow*	eng,8
*carlos*	spa,9
*charlotte*	nld,29	eng,2
*cherique*	nld,5
*chosen one*	eng,384
*chris*	spa,82
*cookie*	ita,160
*cristian vida*	spa,17
*cryst4l^dr4g0n*	ita,207
*csivava*	hun,5
*cute neo bunnyese*	eng,12
*d-maseinho*	ita,623
*daijinryuu*	eng,87
*dame*	jpn,6
*darukku*	spa,4	eng,5
*debo-chan*	spa,8
*decore*	deu,9
*delasin	fra,17
*dominicans*rock*	eng,16
*draven*	eng,7
*drem*	eng,32
*drews	msa,9
*drillzor*	eng,16
*drowned*	eng,134
*duckundweg*	deu,109	eng,5
*dulce*anahi*	slv,6
*dy-fuse	eng,285
*d	eng,8
*egeria	jpn,13
*elegirl*	ita,5
*emi*	ita,11
*emokids123*	eng,13
*eva*	deu,5	nld,6
*evy*splash	ita,103
*f*	ita,54
*fairyeyeliner*	eng,10
*figuristochka*	rus,6
*finley pedrina*	eng,18
*flossie*	eng,5
*fmmh.myir*	jpn,30
*frasier*	deu,64
*galad*	spa,28
*gilabola	msa,6
*glasgow grin*	eng,8
*head$ple$$*	deu,7
*hi cool*u	eng,5
*hinata*1029	jpn,15
*hobbs*	eng,6
*i'm lost!*	hun,296
*igorchornukha	rus,22
*jamila1*	eng,5
*jb	eng,143
*jd	eng,6
*johanna*1992	deu,19
*johanna*d	deu,7
*johnny*1234567890	eng,5
*jonas*	nld,12
*josephine85*	ita,2	eng,307
*jules*	ita,5
*justus1648	deu,7
*kat*	deu,3	eng,4779
*kay	deu,5	eng,11
*khi người ta trẻ*	jpn,10	eng,15	hbs,3	vie,3
*kikof*	fra,22
*kutaka(-lu)	eng,64
*ladyd*	rus,5
*legion*	eng,12
*lfr*	deu,12
*lightmax*	deu,5
*little john*	eng,5
*liverguts*	eng,8
*lizzy16	eng,7
*lolita haze*	eng,18
*lonewolf*89	ita,11
*lordhelmchen*	deu,21
*luna*	ita,898	eng,37
*m-andi*	deu,414
*madziusss* xd	pol,5
*mae*	eng,5
*mandrax	ita,50
*marco1511*	deu,9
*mariangela* 007	spa,6
*marvoloe*rised*	deu,15
*max*	eng,182
*mebeu14*	eng,27
*medha*	eng,7
*miamika*	pol,16
*miciell*	jpn,37
*miellyn*	deu,18
*miss miller*	slv,12
*misscharmedone*	eng,27
*mizuki*	jpn,62
*msc.yoset*	spa,141
*my*boots*	eng,5
*myl2000*	eng,32
*mystic*	eng,1184
*nadi*	bar,12
*nausikaa*	eng,6
*newkidontheblock*	deu,8
*nicepiccolo*	deu,15
*nick lachey*	nld,148
*niel*-*dieter*	spa,10
*nondescript	eng,43
*normalgamer*	eng,103
*nto	ita,20
*o* *o* *o* *o* q-q	zho,5
*one*piece*	eng,7
*osmeh...	hbs,10
*p*n*c*r	eng,5
*p-marc	deu,169
*pamity	eng,14
*paranoya*	deu,18
*patricia*	nld,833
*paul*	eng,3574
*pazmal*	spa,46	eng,27
*pettra*	slv,6
*piccolaliceale*	ita,5
*pilot*	eng,6
*rammstein*	eng,15
*raphael*	ita,4325
*rebekahnoulton*	eng,7
*redrubyrock*	eng,24
*reoc*	eng,37
*ria777*	eng,463
*robert*	dan,6
*rolleseyes*	nld,38
*rolleyes*	deu,145	eng,4
*rv*	fra,6
*s*	eng,9
*s-t-e-p-h-e-n*	eng,6
*s.p.f.c. fabio*	por,36
*sailor sky*	eng,13
*sam*	eng,68
*sammy*	fra,198
*samus aran*	fra,104
*sannethy*	eng,8
*sans-papiers*	fra,6
*seuf(t)z*	deu,5
*sgr*	deu,252	eng,14
*shary-p.i.n.k.*	spa,49
*siberian*	eng,13
*silver eagle*	fra,7
*skevins*	deu,36
*slits*	fra,5
*smb	eng,95
*smile*	deu,80
*smurky	eng,5
*smy*simay	tur,12
*someone42*	eng,98
*spatz*	deu,33
*star*	eng,7
*star^river*	eng,40
*star	eng,23
*stéphanie rannou	fra,11
*sugarr*	eng,7
*superlight*	swe,5
*surak*	lat,8	epo,51	deu,458	eng,37
*susan popplewell*	eng,8
*thainá*	por,10
*thanatos1981*	deu,6
*theres*	deu,6
*theserpentine*	eng,24
*tischkante*	deu,293
*tpc* clan	eng,12
*truzzo delta*	ita,29
*turquoise moon*	eng,13
*tutti x una*	ita,5
*ulla*	deu,6	eng,554
*unforgivable*	ita,15	eng,149
*uur*	tur,60
*vaidya*tilak*	eng,7
*vas*dave	eng,8
*volbeat*	deu,12
*waldheinz*	deu,12
*wert-	eng,6
*white sheep*	deu,14
*whitherose*	ita,74
*wiki gs*	deu,6
*wilfred*	eng,59
*wpausa'	eng,15
*wx*shion de Áries	por,8
*xcl*	eng,20
*xerxes135*	eng,5
*yukio okumura*	eng,22
*zerog*	ita,76
*zonda	rus,8
*zso*	nld,6
*	rus,118	eng,5
*口*...	zho,10
*光*	kor,5
*興*	kor,5
*乾*	kor,6
*光隆*	kor,11
*光明*	kor,5
*혜성*	kor,5
*淸明*	kor,6
*하늘*	kor,6
*محبة العلم*	ara,11
*よかよき*	jpn,337
*キャラメル*	jpn,14
*الغامض*	ara,13
*Αλέξανδρος	deu,4	ell,6602	eng,33
+ + mythman or mothman? + +	eng,10
+ ixtapa6 +	eng,64
+ metalmetalmetal +	ita,6
+*+שיר+*+	heb,5
+++atdt123	eng,7
+++muva+++	deu,6
++archbishopbooney	eng,23
++galileo2005++	deu,29
++gardenfriend++	deu,3594
++martin++	eng,51
++octavedupont++	deu,7
++ungood	eng,107
++	deu,22
+0-lje	eng,28
+1baka	eng,12
+20 exp	eng,36
+2as	eng,16
+9m m9+	eng,21
+::jessica::+	eng,5
+ak74+	ita,5	eng,3
+aledse+	deu,6
+aramis+	spa,51
+ecoice	eng,8
+forgetmenot+	jpn,8
+fredi+	deu,36
+freegift	eng,20
+gdkd`ty	jpn,9
+gujhin+	spa,5
+j.j.c+ok	eng,17
+johnny723	hun,12	eng,5
+la	deu,110
+listo del word	spa,8
+misanthrop+	deu,65
+op dokey	eng,14
+random nws+	eng,17
+rebecke+	deu,7
+shipilov	rus,27
+sorano+	rus,5
+spqr	eng,33
+stevenikaido+	eng,23
+u3)u!^ 7!3n	eng,132
+victorinox	zho,6
+virtue+	eng,8
+	fra,9	swe,70	nor,2
+星霜+	jpn,9
