Source	Target	NumTransFromSrc	NumTransToTgt	NumOfTransSrcToTgt
ara	kat	11884	2176	7
kaz	kaa	948	568	8
deu	abk	201718	115	1
ncx	spa	1	228910	1
nep	ori	47	752	1
jpn	sqi	26921	6757	25
slk	nld	4205	111371	13
taa	eng	2	146294	2
kor	heb	4621	10961	3
tur	asm	2658	526	1
sux	eng	133	146294	24
tuk	mal	434	1202	1
san	por	4282	74721	29
sba	fra	1	238463	1
tuk	lao	434	232	1
lad	eng	32	146294	12
tur	lit	2658	15447	15
fra	fao	216624	415	4
sqi	lit	1424	15447	1
bul	ron	3667	18464	58
hye	bul	1100	25742	28
aze	ces	774	64442	6
kat	ukr	1224	4514	47
mya	vie	60	786	1
urd	rus	950	82772	21
tha	fra	215	238463	38
fra	tbt	216624	3	3
fin	bel	8296	1874	5
tam	kor	496	22338	1
heb	tpm	9889	3	1
slv	ron	2463	18464	4
fro	swe	902	71688	3
msa	ara	485	12488	1
eng	gjn	1225237	3	2
gle	hbs	269	45036	3
chm	est	116	20605	10
myv	est	70	20605	6
heb	fod	9889	3	1
xua	deu	1	292124	1
kaz	kor	948	22338	11
est	tuk	5739	741	4
tel	asm	277	526	2
vie	bel	668	1874	4
kor	deu	4621	292124	197
eng	yam	1225237	11	4
mon	eng	244	146294	17
ukr	tuk	2877	741	4
arc	hbs	347	45036	2
arc	fin	347	46271	3
kas	guj	24	524	1
swe	sme	39192	173	50
ang	hun	147	54989	1
spa	swe	52955	71688	661
eng	kaz	1225237	2454	112
sqi	ell	1424	27422	91
mal	fra	306	238463	13
eng	tnd	1225237	1	1
swe	kor	39192	22338	26
ita	dan	66453	64799	616
spa	deu	52955	292124	6493
fra	bba	216624	4	4
tyv	kaz	56	2454	1
heb	krc	9889	103	1
yid	mol	1590	3720	4
pro	jpn	159	130893	2
fra	grc	216624	22	3
vie	bak	668	502	1
syr	ara	252	12488	1
guj	swe	264	71688	1
swe	tir	39192	74	7
ara	afr	11884	776	1
swe	ron	39192	18464	85
fas	eus	2837	3923	2
lat	roh	19240	284	2
ita	ara	66453	12488	135
guj	deu	264	292124	3
est	kaz	5739	2454	11
mal	ces	306	64442	1
est	mon	5739	2423	3
fra	box	216624	30	23
ces	eng	17202	146294	3118
tuk	ori	434	752	1
hun	mkd	11256	3901	18
sin	eng	52	146294	23
kur	rus	137	82772	19
jpn	deu	26921	292124	2090
fas	hbs	2837	45036	43
fij	fra	1	238463	1
eng	cgc	1225237	4	3
tgk	lav	476	8145	4
kat	hun	1224	54989	12
kaq	spa	2	228910	2
mar	zho	405	62650	1
jpn	asm	26921	526	1
tel	mar	277	878	2
tat	kaa	462	568	5
cat	swe	8328	71688	19
ita	isl	66453	6514	43
kat	epo	1224	542	2
hin	nor	1469	45923	2
eng	bfd	1225237	6	4
rus	sme	101395	173	3
ron	lat	5475	362	4
wol	deu	13	292124	1
xno	deu	10	292124	1
spa	prt	52955	5	1
cat	fra	8328	238463	689
mcb	spa	5	228910	5
grc	tuz	17342	3	1
que	eng	37	146294	7
ara	est	11884	20605	17
est	vep	5739	5	1
gle	hun	269	54989	3
mga	eng	12	146294	9
abk	tur	171	11874	2
jpn	nld	26921	111371	334
aze	fra	774	238463	9
alt	tyv	56	164	1
grc	orv	17342	4	2
akk	ces	136	64442	4
fin	pol	8296	76720	109
isl	tha	1518	1227	1
grc	bcq	17342	3	1
msa	tur	485	11874	2
hbs	zho	12743	62650	14
vie	ell	668	27422	1
osp	jpn	29	130893	1
moz	fra	1	238463	1
bod	asm	1508	526	2
eng	mcu	1225237	12	2
kir	mar	708	878	2
mkd	kaz	1592	2454	1
jav	eng	18	146294	5
nor	kaz	14530	2454	6
nyj	eng	4	146294	1
gle	swe	269	71688	5
spa	asm	52955	526	7
eng	ful	1225237	9	2
tat	eng	462	146294	5
hin	lit	1469	15447	5
epo	slk	99	19641	2
ang	eng	147	146294	88
uzb	kat	872	2176	2
gle	deu	269	292124	82
deu	tuv	201718	1	1
gmh	pdt	595	16	1
lat	mkd	19240	3901	29
tel	rus	277	82772	6
pus	fra	60	238463	9
eng	cro	1225237	1	1
eng	bar	1225237	2	1
rus	hin	101395	3506	553
epo	hbs	99	45036	7
est	nld	5739	111371	10
uga	ces	6	64442	1
grc	ron	17342	18464	251
sin	rus	52	82772	4
tur	bul	2658	25742	64
fkv	eng	1	146294	1
chv	rus	203	82772	169
tam	ben	496	1878	6
lad	roh	32	284	2
ivv	eng	1	146294	1
hye	rus	1100	82772	478
gmh	ron	595	18464	1
fao	eng	104	146294	11
ita	glg	66453	2371	98
ipk	eng	4	146294	4
rus	kum	101395	65	55
bet	fra	1	238463	1
heb	gjn	9889	3	1
eng	anv	1225237	10	9
ell	est	4862	20605	18
grc	hye	17342	2139	15
tel	nld	277	111371	2
xal	tyv	153	164	1
tur	eus	2658	3923	3
deu	miq	201718	1	1
bak	hun	357	54989	2
bod	heb	1508	10961	1
tat	aze	462	1658	4
uby	eng	1	146294	1
fas	zho	2837	62650	28
rus	nld	101395	111371	1035
swe	cat	39192	18004	121
eng	nld	1225237	111371	73423
zho	oci	13337	204	2
pol	rus	14104	82772	1560
pli	est	400	20605	4
ukr	mlg	2877	204	1
lat	spa	19240	228910	2898
fra	pap	216624	2	1
nor	slv	14530	18719	35
grc	goh	17342	4	1
heb	ron	9889	18464	50
eng	sjm	1225237	10	5
mon	tuk	244	741	2
jpn	mon	26921	2423	27
ijc	eng	1	146294	1
ava	xal	186	42	1
tam	jpn	496	130893	8
bak	bul	357	25742	1
fur	fra	8	238463	2
san	nor	4282	45923	9
nor	roh	14530	284	1
eng	xon	1225237	8	1
eng	ast	1225237	193	48
vie	ara	668	12488	4
tur	isl	2658	6514	2
que	pol	37	76720	1
jpn	fra	26921	238463	8576
grc	box	17342	30	2
lat	swe	19240	71688	280
por	kaz	11390	2454	5
sme	sma	103	30	3
fra	kaa	216624	568	3
tpw	eng	1	146294	1
rus	bak	101395	502	457
cym	nld	621	111371	9
mar	deu	405	292124	9
gmh	kat	595	2176	2
non	pol	299	76720	1
grc	ncf	17342	1	1
ukr	ara	2877	12488	10
enm	eng	231	146294	149
rus	dar	101395	68	59
deu	chv	201718	174	1
sga	eng	14	146294	9
ota	fra	16	238463	4
bel	rus	1409	82772	707
pan	hin	327	3506	118
lit	tgk	1985	1062	5
msa	ukr	485	4514	1
cos	eng	50	146294	1
ang	deu	147	292124	13
swe	aze	39192	1658	3
arc	cat	347	18004	1
ara	aze	11884	1658	17
niu	eng	25	146294	1
fin	mol	8296	3720	2
tuk	est	434	20605	6
ara	azr	11884	1	1
tet	por	3	74721	1
afr	deu	357	292124	50
pro	fra	159	238463	80
mya	zho	60	62650	3
ara	bak	11884	502	4
pan	mal	327	1202	10
eng	sma	1225237	30	5
msa	rus	485	82772	11
dan	dar	21239	68	1
ceb	fil	3	150	1
kaz	rus	948	82772	669
kir	dan	708	64799	3
dan	lat	21239	362	4
urd	lah	950	4	3
rus	mar	101395	878	160
isl	kaz	1518	2454	1
eng	lns	1225237	15	10
heb	mol	9889	3720	21
deu	gmh	201718	15	2
swe	dar	39192	68	1
kat	heb	1224	10961	1
ita	ast	66453	193	7
lat	bul	19240	25742	115
mdf	deu	101	292124	1
tam	swe	496	71688	2
peo	dan	11	64799	1
tuk	hbs	434	45036	3
grc	uzb	17342	2757	9
fin	deu	8296	292124	670
grc	kgh	17342	11	2
hun	ara	11256	12488	8
eng	tlh	1225237	1	1
glg	eng	1346	146294	128
sme	hun	103	54989	2
ces	aze	17202	1658	5
kik	eng	18	146294	10
bar	deu	1	292124	1
kor	hbs	4621	45036	9
zho	nep	13337	140	1
jpn	kat	26921	2176	13
cym	gle	621	167	2
slv	rus	2463	82772	40
roh	gsw	90	116	1
nld	fri	18978	118	35
sin	new	52	25	2
tel	lit	277	15447	7
sux	fin	133	46271	1
rus	ckt	101395	39	35
grc	moa	17342	2	2
heb	mkw	9889	5	1
fra	hun	216624	54989	3947
afr	dan	357	64799	8
che	tur	80	11874	2
ron	yid	5475	89	4
jpn	pol	26921	76720	89
heb	jpn	9889	130893	101
dan	bre	21239	406	2
eng	nhr	1225237	8	7
grc	tel	17342	668	1
ara	mkd	11884	3901	19
epo	spa	99	228910	2
san	bul	4282	25742	24
glg	bre	1346	406	3
dar	hin	83	3506	1
ara	ava	11884	64	1
bzj	eng	2	146294	1
ewe	fra	7	238463	6
fra	bmy	216624	1	1
grc	chm	17342	89	5
tat	kaz	462	2454	14
slv	ita	2463	59830	171
kab	deu	39	292124	1
kas	urd	24	1005	2
arc	ron	347	18464	1
spa	pol	52955	76720	1488
ces	abk	17202	115	1
deu	pol	201718	76720	10116
som	dan	26	64799	2
nld	iku	18978	304	1
deu	tab	201718	61	1
sux	isl	133	6514	1
aze	alt	774	50	1
mol	kir	2864	1528	3
fur	deu	8	292124	3
dak	eng	25	146294	6
srd	glg	6	2371	1
txg	rus	2	82772	2
slk	tuk	4205	741	2
por	ast	11390	193	3
coq	eng	1	146294	1
bul	tuk	3667	741	12
grc	flr	17342	11	9
myv	mdf	70	34	1
bak	vie	357	786	2
otk	deu	12	292124	1
deu	krc	201718	103	1
fra	isl	216624	6514	349
tel	tyv	277	164	1
mar	guj	405	524	27
fra	mar	216624	878	9
fra	pri	216624	2	2
kpy	rus	6	82772	2
deu	tsn	201718	17	1
yid	deu	1590	292124	305
est	abk	5739	115	1
jpn	san	26921	58	1
rom	fra	79	238463	8
smj	swe	8	71688	1
sux	fas	133	11329	4
eng	pol	1225237	76720	45183
ell	mkd	4862	3901	34
fra	nnw	216624	13	8
fin	vie	8296	786	4
och	zho	16	62650	3
grc	olo	17342	3	2
pli	por	400	74721	1
osp	fra	29	238463	1
dan	iku	21239	304	179
ara	zho	11884	62650	146
ful	fra	20	238463	17
xal	kir	153	1528	2
ful	por	20	74721	1
grc	ori	17342	752	2
frm	eng	267	146294	72
grc	neb	17342	4	2
ell	lit	4862	15447	19
hbs	eus	12743	3923	1
pol	ara	14104	12488	23
evn	rus	24	82772	18
mon	fra	244	238463	5
swe	mol	39192	3720	8
deu	nyo	201718	1	1
way	nld	2	111371	1
heb	nor	9889	45923	44
fra	mnh	216624	2	2
eng	hag	1225237	5	2
akk	deu	136	292124	20
mol	swa	2864	323	1
fra	moz	216624	17	8
grc	gmh	17342	15	3
deu	prt	201718	5	1
krc	ukr	141	4514	2
eng	hni	1225237	12	1
hin	mya	1469	274	2
swe	nor	39192	45923	6137
grc	tam	17342	1763	7
deu	ori	201718	752	17
lit	mar	1985	878	1
hye	tgk	1100	1062	11
kan	eng	314	146294	97
kca	est	21	20605	1
heb	tur	9889	11874	6
rus	mlt	101395	86	2
hye	slk	1100	19641	16
lbe	est	41	20605	1
swe	ukr	39192	4514	25
tat	tuk	462	741	2
ukr	tat	2877	819	4
ita	sin	66453	671	7
grc	dgi	17342	6	1
swa	lit	65	15447	1
heb	jvn	9889	6	1
yid	isl	1590	6514	12
ben	kat	2223	2176	1
ita	lad	66453	15	1
heb	lad	9889	15	7
nor	pol	14530	76720	459
slk	ces	4205	64442	1106
asm	ben	95	1878	9
gle	nld	269	111371	5
gmh	lat	595	362	1
zho	swe	13337	71688	139
nya	eng	1	146294	1
rus	tkr	101395	1	1
heb	lin	9889	20	1
hun	kir	11256	1528	3
glg	mkd	1346	3901	1
heb	ceb	9889	11	1
sga	ita	14	59830	1
cat	sqi	8328	6757	1
ron	por	5475	74721	14
lao	ara	41	12488	1
tel	msa	277	5416	1
fra	sme	216624	173	2
doi	ori	10	752	1
deu	yor	201718	28	2
nor	ben	14530	1878	5
fra	kor	216624	22338	1616
bel	lit	1409	15447	30
ita	epo	66453	542	3
spa	mtp	52955	3	3
slk	mol	4205	3720	20
fin	nld	8296	111371	59
eng	kqe	1225237	10	9
slk	spa	4205	228910	23
eng	glg	1225237	2371	432
nld	urd	18978	1005	3
bak	kir	357	1528	3
jpn	uig	26921	1488	5
est	nor	5739	45923	16
slk	uzb	4205	2757	2
grc	wap	17342	3	3
tuk	mar	434	878	3
pro	est	159	20605	1
dan	tha	21239	1227	3
uzb	lit	872	15447	9
nld	kor	18978	22338	48
tuk	tel	434	668	1
por	ben	11390	1878	1
gul	eng	1	146294	1
deu	swa	201718	323	5
ron	rom	5475	82	2
akk	swe	136	71688	3
ita	kat	66453	2176	22
kan	tam	314	1763	27
swe	jpn	39192	130893	602
ita	nld	66453	111371	1753
cat	hun	8328	54989	16
fra	urd	216624	1005	11
tel	ori	277	752	2
ron	bul	5475	25742	76
dar	kat	83	2176	1
fin	hin	8296	3506	1
ron	ara	5475	12488	6
eng	vag	1225237	5	2
ces	nor	17202	45923	106
msa	hun	485	54989	2
abk	kbd	171	86	2
nog	kir	28	1528	1
hbs	kat	12743	2176	6
dts	fra	1	238463	1
san	fra	4282	238463	269
tha	deu	215	292124	16
por	lat	11390	362	8
yid	fin	1590	46271	10
kan	pan	314	384	4
bel	lav	1409	8145	15
ncz	eng	1	146294	1
rus	pol	101395	76720	3370
aka	fra	2	238463	1
cot	spa	1	228910	1
grc	sok	17342	8	2
wmt	eng	3	146294	3
slk	zho	4205	62650	1
gmh	swe	595	71688	5
pao	eng	1	146294	1
grc	plw	17342	2	1
amh	deu	58	292124	12
non	nld	299	111371	6
rus	lbe	101395	65	60
mon	jpn	244	130893	19
zho	uig	13337	1488	841
aze	ukr	774	4514	29
ita	hbs	66453	45036	2836
hin	tel	1469	668	42
rus	abk	101395	115	88
que	nld	37	111371	2
tgk	uig	476	1488	1
dua	eng	5	146294	1
isl	ita	1518	59830	17
syr	rus	252	82772	10
mol	lav	2864	8145	9
heb	cni	9889	1	1
ori	ben	244	1878	33
isl	zho	1518	62650	5
kon	nld	9	111371	1
bel	eng	1409	146294	94
uzb	zho	872	62650	1
dan	kur	21239	201	16
deu	mos	201718	3	1
grc	tuk	17342	741	2
pro	eus	159	3923	1
eng	agt	1225237	9	7
wlm	fra	5	238463	1
por	ell	11390	27422	67
ces	jpn	17202	130893	188
pli	tha	400	1227	1
arn	spa	9	228910	5
arc	hun	347	54989	1
yus	eng	1	146294	1
mal	urd	306	1005	1
tha	dan	215	64799	4
kdd	eng	1	146294	1
dan	kaa	21239	568	1
deu	amh	201718	317	5
hau	eng	9	146294	6
eng	kdh	1225237	11	1
enm	ces	231	64442	1
ava	guj	186	524	2
eng	nep	1225237	140	8
grc	tpm	17342	3	1
swe	tha	39192	1227	5
frm	ces	267	64442	3
sqi	hun	1424	54989	8
ukr	khm	2877	231	3
ara	glg	11884	2371	4
ell	hun	4862	54989	51
por	uzb	11390	2757	3
spa	ukr	52955	4514	45
nor	bul	14530	25742	47
yid	mon	1590	2423	1
fra	pbi	216624	8	4
sqi	cat	1424	18004	9
jpn	iku	26921	304	1
lmw	eng	1	146294	1
swe	roh	39192	284	5
xal	tat	153	819	1
grc	fra	17342	238463	2125
grc	any	17342	7	3
jpn	tgk	26921	1062	1
hun	chv	11256	174	1
rus	krl	101395	7	2
ben	asm	2223	526	62
san	guj	4282	524	43
sah	ukr	153	4514	2
est	mol	5739	3720	14
fra	hbs	216624	45036	4862
hbs	dar	12743	68	1
kho	ita	2	59830	1
nld	ell	18978	27422	73
ara	kor	11884	22338	21
mzs	por	1	74721	1
hun	tuk	11256	741	4
mkd	chu	1592	7	1
myv	fin	70	46271	1
chm	fin	116	46271	2
sah	bel	153	1874	1
tuk	bla	434	4	1
fas	ita	2837	59830	53
epo	dan	99	64799	1
slh	eng	3	146294	1
fra	mqb	216624	4	4
slv	mol	2463	3720	1
rus	agx	101395	1	1
fra	ell	216624	27422	4830
sqi	mkd	1424	3901	51
uzb	tuk	872	741	10
gmh	hun	595	54989	3
grc	isl	17342	6514	27
orv	xal	173	42	1
eng	ksj	1225237	1	1
spa	rmr	52955	4	3
isl	hbs	1518	45036	6
fra	ltz	216624	36	16
hbs	uzb	12743	2757	1
fra	mcp	216624	12	9
heb	kal	9889	327	3
grc	haw	17342	10	1
lam	sin	1	671	1
hbs	spa	12743	228910	254
rom	swe	79	71688	1
sna	deu	5	292124	1
wic	spa	1	228910	1
syr	spa	252	228910	19
fas	tel	2837	668	1
non	fra	299	238463	16
kir	tgk	708	1062	9
deu	isl	201718	6514	317
grc	bcw	17342	7	2
egy	deu	235	292124	46
ckt	bul	33	25742	1
deu	guj	201718	524	14
mkd	cat	1592	18004	1
lao	rus	41	82772	7
xuu	deu	1	292124	1
spa	hch	52955	1	1
rus	chm	101395	89	82
sin	deu	52	292124	1
eng	chv	1225237	174	5
kir	mol	708	3720	6
sux	hbs	133	45036	11
chu	nld	80	111371	1
grc	kat	17342	2176	22
dih	spa	1	228910	1
ita	pol	66453	76720	3175
tew	spa	3	228910	1
ell	kor	4862	22338	11
dum	fra	84	238463	14
mar	spa	405	228910	5
mon	lav	244	8145	2
mkd	bul	1592	25742	46
zho	mol	13337	3720	1
dan	tuk	21239	741	1
grc	mal	17342	1202	9
enm	ell	231	27422	1
zho	ara	13337	12488	27
kca	rus	21	82772	16
amh	fin	58	46271	1
grc	kfz	17342	12	1
kbd	kat	119	2176	2
fra	pdt	216624	16	1
fra	mql	216624	2	2
glg	cat	1346	18004	192
heb	dyo	9889	7	7
urd	ell	950	27422	1
est	bak	5739	502	1
san	doi	4282	1	1
ces	rus	17202	82772	895
est	chm	5739	89	1
ukr	rus	2877	82772	1095
fra	sot	216624	9	1
vie	deu	668	292124	47
alt	kir	56	1528	2
car	ben	12	1878	1
mcu	fra	1	238463	1
lav	rus	1288	82772	539
eng	tsg	1225237	2	2
bel	sin	1409	671	1
deu	ang	201718	8	1
por	ron	11390	18464	107
grc	rut	17342	2	1
san	tgk	4282	1062	2
slv	deu	2463	292124	476
mla	ces	1	64442	1
mar	hin	405	3506	128
spa	snd	52955	15	1
zho	lat	13337	362	3
fra	gcr	216624	8	8
fra	pan	216624	384	3
rus	new	101395	25	1
kaa	rus	129	82772	95
fin	glg	8296	2371	2
kat	nld	1224	111371	2
krl	eng	23	146294	1
eng	mbs	1225237	5	5
jpn	mol	26921	3720	13
oym	fra	1	238463	1
kir	kat	708	2176	1
nor	ron	14530	18464	33
hbs	lav	12743	8145	12
quc	spa	1	228910	1
hss	eng	1	146294	1
kio	eng	2	146294	2
fra	kfz	216624	12	8
rom	slk	79	19641	3
mar	tel	405	668	8
eng	kir	1225237	1528	22
grc	bov	17342	1	1
pri	fra	4	238463	4
deu	cat	201718	18004	1719
por	tam	11390	1763	2
spa	sco	52955	32	1
cat	ron	8328	18464	25
akk	rus	136	82772	3
heb	hin	9889	3506	1
egy	eng	235	146294	54
sux	por	133	74721	1
heb	tuo	9889	1	1
kin	fra	3	238463	3
mya	tam	60	1763	1
fra	ukr	216624	4514	160
pli	lit	400	15447	1
gle	pol	269	76720	5
pol	kaa	14104	568	1
ara	hbs	11884	45036	245
urd	eng	950	146294	310
deu	fin	201718	46271	3294
asm	pan	95	384	3
por	slv	11390	18719	49
grc	rop	17342	7	3
deu	dar	201718	68	1
ell	sqi	4862	6757	112
urd	tgk	950	1062	1
ben	cat	2223	18004	15
lav	lao	1288	232	1
heb	lor	9889	1	1
knj	spa	1	228910	1
orv	eng	173	146294	7
ell	cat	4862	18004	43
nld	ukr	18978	4514	3
orv	rus	173	82772	103
rus	kom	101395	26	22
slv	ell	2463	27422	4
fra	arg	216624	64	6
jpn	eus	26921	3923	2
grc	pgu	17342	1	1
ben	hun	2223	54989	4
rus	atv	101395	1	1
cre	oji	117	25	16
pan	mar	327	878	9
dje	fra	6	238463	6
mol	kat	2864	2176	5
hun	pol	11256	76720	346
epo	tur	99	11874	1
pqm	eng	2	146294	2
grc	yrb	17342	1	1
ori	ron	244	18464	1
gmh	por	595	74721	2
tuk	eng	434	146294	2
kat	isl	1224	6514	1
kaz	urd	948	1005	3
ckt	est	33	20605	1
amh	eng	58	146294	7
heb	mon	9889	2423	2
lav	ces	1288	64442	29
swe	kur	39192	201	103
ofs	fra	2	238463	1
bel	kaa	1409	568	3
heb	eng	9889	146294	2831
bra	hin	11	3506	1
san	est	4282	20605	13
kir	urd	708	1005	3
ben	fas	2223	11329	2
enm	deu	231	292124	17
ara	oss	11884	153	1
wit	eng	2	146294	2
peo	fra	11	238463	1
tuk	swa	434	323	1
tqo	eng	1	146294	1
mkd	est	1592	20605	1
frm	nor	267	45923	1
pli	nor	400	45923	7
ben	ces	2223	64442	12
cat	slv	8328	18719	23
hur	eng	3	146294	3
smo	rar	74	78	15
ara	sqi	11884	6757	257
jpn	ita	26921	59830	308
bul	rom	3667	82	1
yid	hye	1590	2139	2
uzb	crh	872	20	7
khm	lit	51	15447	1
grc	mym	17342	8	1
urd	mon	950	2423	1
mya	eng	60	146294	7
ark	eng	1	146294	1
deu	ces	201718	64442	17462
tat	bak	462	502	14
grc	aby	17342	1	1
lat	mal	19240	1202	1
gle	est	269	20605	1
bod	hun	1508	54989	30
pro	ukr	159	4514	1
epo	eus	99	3923	2
egy	hun	235	54989	2
orm	deu	3	292124	1
cat	glg	8328	2371	215
rus	mns	101395	1	1
fra	kir	216624	1528	8
jpn	por	26921	74721	98
nor	mlg	14530	204	1
kib	fra	2	238463	1
nld	eng	18978	146294	2855
pli	eng	400	146294	117
bul	hbs	3667	45036	69
kum	est	44	20605	1
hun	glg	11256	2371	2
bul	pol	3667	76720	110
syr	kat	252	2176	1
mon	bel	244	1874	2
afr	rus	357	82772	3
fra	ybb	216624	4	2
swe	smj	39192	42	20
rus	mal	101395	1202	190
lav	hye	1288	2139	6
grc	chk	17342	1	1
dan	urd	21239	1005	25
grc	aze	17342	1658	1
jai	spa	3	228910	1
fro	nld	902	111371	18
eng	lao	1225237	232	7
eng	ady	1225237	50	1
isl	dan	1518	64799	225
mol	ara	2864	12488	1
deu	mlg	201718	204	6
kir	hin	708	3506	5
ara	deu	11884	292124	1105
ara	lit	11884	15447	17
deu	ara	201718	12488	543
nor	ell	14530	27422	52
lav	khm	1288	231	1
eng	mri	1225237	319	310
amh	suq	58	7	1
sah	mol	153	3720	1
swa	dan	65	64799	1
spa	ast	52955	193	44
hag	eng	1	146294	1
kan	asm	314	526	3
are	eng	2	146294	2
nor	yua	14530	2	1
sah	fra	153	238463	2
dan	tgk	21239	1062	2
niu	rar	25	78	6
san	slk	4282	19641	7
mal	san	306	58	1
kir	fra	708	238463	15
kal	dan	86	64799	63
jav	msa	18	5416	3
eng	wim	1225237	6	1
sqi	rus	1424	82772	50
fra	pro	216624	16	10
deu	iku	201718	304	5
ojp	rus	15	82772	13
urd	nld	950	111371	11
fil	nld	87	111371	1
gle	spa	269	228910	5
fas	mal	2837	1202	1
sah	kaz	153	2454	3
cbk	fil	1	150	1
eng	mtg	1225237	1	1
fra	bua	216624	47	1
grc	ifa	17342	4	1
tam	hun	496	54989	1
liv	est	3	20605	1
fra	guj	216624	524	11
zho	bod	13337	344	306
eng	por	1225237	74721	46826
slv	lit	2463	15447	12
eng	dzg	1225237	15	5
fra	bul	216624	25742	2395
bre	hun	212	54989	1
deu	fao	201718	415	18
snd	pan	47	384	2
enf	ita	11	59830	1
tha	ell	215	27422	1
vec	eng	5	146294	2
grc	ork	17342	1	1
hun	jpn	11256	130893	98
eng	nor	1225237	45923	29891
hat	fra	22	238463	10
tzm	ita	49	59830	1
asm	hin	95	3506	19
bul	mol	3667	3720	21
slv	jpn	2463	130893	7
dan	fao	21239	415	70
mon	slv	244	18719	3
urd	pus	950	285	1
spa	mlg	52955	204	2
swe	heb	39192	10961	55
bak	chv	357	174	1
lit	nld	1985	111371	3
bal	urd	5	1005	1
ykg	rus	21	82772	16
ben	hbs	2223	45036	27
ces	tgk	17202	1062	7
apw	eng	1	146294	1
heb	tiw	9889	6	2
lao	jpn	41	130893	6
pol	ori	14104	752	1
mar	urd	405	1005	6
ron	ita	5475	59830	73
eng	ell	1225237	27422	16599
tur	dan	2658	64799	53
kir	kjh	708	15	1
spa	kor	52955	22338	151
sme	eng	103	146294	9
akk	ara	136	12488	1
bul	fra	3667	238463	280
grc	ful	17342	9	2
ara	dan	11884	64799	101
bel	tgk	1409	1062	9
deu	arg	201718	64	1
dan	kaz	21239	2454	8
hke	fra	1	238463	1
mal	tam	306	1763	71
grc	axk	17342	7	3
swe	pol	39192	76720	981
fra	las	216624	9	9
lit	hin	1985	3506	4
eus	dan	1021	64799	4
grc	kxc	17342	7	4
mar	eng	405	146294	126
isl	bel	1518	1874	1
spa	yid	52955	89	1
swa	slk	65	19641	2
eng	mya	1225237	274	225
vie	kaz	668	2454	4
eng	wmt	1225237	2	1
deu	kal	201718	327	1
got	deu	2	292124	2
fra	cat	216624	18004	3242
grc	ita	17342	59830	875
dar	mol	83	3720	1
lav	tat	1288	819	1
fin	kir	8296	1528	2
bul	hye	3667	2139	17
bel	ces	1409	64442	34
sux	rus	133	82772	1
jbt	eng	1	146294	1
deu	lbe	201718	65	1
sin	lav	52	8145	1
cak	eng	3	146294	2
san	ori	4282	752	75
urd	bal	950	1	1
glg	spa	1346	228910	787
ben	sqi	2223	6757	5
tcy	kan	2	700	1
mal	bul	306	25742	1
eng	pan	1225237	384	122
bod	kor	1508	22338	3
xno	spa	10	228910	1
dan	fas	21239	11329	62
eng	mkd	1225237	3901	1517
arc	eng	347	146294	166
glg	nld	1346	111371	1
nog	uzb	28	2757	1
eng	gla	1225237	227	204
nld	sme	18978	173	1
ces	lat	17202	362	20
vie	eng	668	146294	153
fra	kab	216624	9	1
xal	fra	153	238463	1
grc	loq	17342	2	2
sqi	slk	1424	19641	6
heb	tik	9889	19	3
por	bel	11390	1874	1
grc	lpa	17342	1	1
pol	lit	14104	15447	371
heb	pol	9889	76720	207
heb	ell	9889	27422	35
grc	epo	17342	542	18
por	mol	11390	3720	6
sme	ron	103	18464	1
nor	jpn	14530	130893	135
nor	por	14530	74721	127
ben	ita	2223	59830	28
grc	mox	17342	1	1
otk	kir	12	1528	1
san	urd	4282	1005	13
eng	abk	1225237	115	5
mns	hun	20	54989	3
por	xav	11390	2	2
aze	lit	774	15447	7
pol	jpn	14104	130893	145
vie	hun	668	54989	9
dan	nep	21239	140	1
lat	sin	19240	671	1
ukr	uzb	2877	2757	14
eng	smd	1225237	4	4
frm	fra	267	238463	117
hye	kaa	1100	568	2
bul	spa	3667	228910	142
gmh	spa	595	228910	19
por	lav	11390	8145	16
gde	fra	1	238463	1
fin	ces	8296	64442	98
deu	bak	201718	502	3
ukr	deu	2877	292124	183
grc	guj	17342	524	1
enf	fra	11	238463	1
ces	tuk	17202	741	3
ava	lbe	186	65	1
fin	bul	8296	25742	45
jra	fra	1	238463	1
fra	lad	216624	15	1
crh	ron	28	18464	1
heb	tgk	9889	1062	1
rom	slv	79	18719	1
yid	kaz	1590	2454	1
mkd	tur	1592	11874	199
fas	fin	2837	46271	26
gsw	fra	27	238463	5
eng	bak	1225237	502	4
kat	ben	1224	1878	1
ron	bel	5475	1874	1
zho	cos	13337	50	1
jpn	mya	26921	274	1
iku	hbs	108	45036	2
osp	slv	29	18719	1
lit	kor	1985	22338	1
pli	slv	400	18719	2
one	eng	2	146294	2
bul	tur	3667	11874	42
pan	eng	327	146294	124
afr	swe	357	71688	16
heb	bul	9889	25742	13
est	zho	5739	62650	1
ell	hbs	4862	45036	206
hye	est	1100	20605	10
chl	spa	1	228910	1
slv	nld	2463	111371	11
eng	bla	1225237	4	3
gla	spa	78	228910	4
arw	nld	1	111371	1
chr	fra	3	238463	1
eng	nya	1225237	18	15
slk	kir	4205	1528	1
fra	mlg	216624	204	51
piu	eng	1	146294	1
pal	hbs	18	45036	1
lat	tam	19240	1763	1
eng	nhu	1225237	11	6
kom	est	121	20605	17
yid	slv	1590	18719	1
lus	mya	1	274	1
tel	san	277	58	3
meq	fra	1	238463	1
grc	ded	17342	1	1
eng	chr	1225237	3	1
tgk	hin	476	3506	7
