	Country	Languages			Country	Languages			Country	Languages			Country	Languages
23	Bhutan	"Tshangla 28%, Dzongkha 24%, Nepali macrolanguage 22%"		74	Guadeloupe	French 99%		125	Monaco	French 100%		176	Sweden	Swedish 100%
24	Bolivia	"Spanish 60.7%, Quechua 21.2%, Aymara 14.6%"		75	Guam	"English 38.3%, Chamorro 22.2%, Filipino 22.2%"		126	Mongolia	Mongolian 90%		177	Switzerland	"German 63.7%, French 20.4%, Italian 6.5%, Serbo-Croatian 1.5%, Albanian 1.3%, Portuguese 1.2%, Spanish 1.1%, English 1%"
25	Bosnia and Herzegovina	Serbo-Croatian 100%		76	Guatemala	Spanish 60%		127	Montenegro	"Serbo-Croatian 91.1%, Albanian 5.3%"		178	Syria	Arabic 100%
26	Botswana	"Tswana 78.2%, Kalanga 7.9%, English 2.1%"		77	Guinea	French 100%		128	Morocco	Arabic 90%		179	Taiwan	Chinese 100%
27	Brazil	Portuguese 100%		78	Guinea-Bissau	"Upper Guinea Crioulo 44%, Portuguese 14%"		129	Mozambique	"Makhuwa 25.3%, Portuguese 10.7%, Tsonga 10.3%, Sena 7.5%, Lomwe 7%, Chuwabu 5.1%"		180	Tajikistan	Tajik 100%
28	Brunei	Malay 100%		79	Guyana	English 50%		130	Namibia	"Afrikaans 60%, German 32%, English 7%"		181	Tanzania	Swahili 100%
29	Bulgaria	"Bulgarian 76.8%, Turkish 8.2%, Romany 3.8%"		80	Haiti	"Haitian 75%, French 25%"		131	Nauru	Nauru 100%		182	Thailand	Thai 100%
30	Burkina Faso	French 100%		81	Honduras	Spanish 100%		132	Nepal	"Nepali macrolanguage 47.8%, Maithili 12.1%, Bhojpuri 7.4%"		183	Timor-Leste	"Tetum 36.6%, English 31.4%, Portuguese 23.5%"
31	Burma	Burmese 100%		82	Hong Kong	"Chinese 95%, English 3.5%"		133	Netherlands	Dutch 100%		184	Togo	French 30%
32	Burundi	"French 50%, Rundi 50%"		83	Hungary	Hungarian 93.6%		134	New Caledonia	French 97%		185	Tonga	"Tonga (Tonga Islands) 70%, English 30%"
33	Cambodia	Central Khmer 95%		84	Iceland	Icelandic 100%		135	New Zealand	"English 91.2%, Maori 3.9%, Samoan 2.1%, Chinese 2.1%, French 1.3%, Hindi 1.1%"		186	Trinidad and Tobago	English 90%
34	Cameroon	"French 50%, English 50%"		85	India	"Hindi 41%, Bengali 8.1%, Telugu 7.2%, Marathi 7%, Tamil 5.9%, Urdu 5%, Gujarati 4.5%, Kannada 3.7%, Oriya macrolanguage 3.2%, Malayalam 3.2%, Panjabi 2.8%"		136	Nicaragua	Spanish 97.5%		187	Tunisia	Arabic 100%
35	Canada	"English 58.8%, French 21.6%"		86	Indonesia	Malay 100%		137	Niger	"Hausa 49.6%, Zarma 25.5%, Tamashek 8.4%, Fulah 8.3%, French 5%"		188	Turkey	"Turkish 85.4%, Kurdish 12%, Arabic 1.2%"
36	Cape Verde	Portuguese 100%		87	Iran	"Persian 53%, Azerbaijani 18%, Kurdish 10%, Luri 6%, Arabic 2%"		138	Nigeria	English 30%		189	Turkmenistan	"Turkmen 72%, Russian 12%, Uzbek 9%"
37	Central African Republic	"Sango 80%, French 20%"		88	Iraq	"Arabic 80%, Kurdish 15%"		139	Norway	Norwegian 100%		190	Uganda	"Ganda 14%, English 8%"
38	Chad	"Arabic 50%, French 50%"		89	Ireland	"English 95%, Irish 2%"		140	Oman	Arabic 100%		191	Ukraine	"Ukrainian 67%, Russian 24%"
39	Chile	Spanish 100%		90	Isle of Man	English 100%		141	Pakistan	"Panjabi 48%, Sindhi 12%, Lahnda 10%, Urdu 8%, Pushto 8%"		192	United Arab Emirates	Arabic 100%
40	China	Chinese 100%		91	Israel	"Hebrew 80%, Arabic 15%"		142	Palestinian Authority	Arabic 100%		193	United Kingdom	English 100%
41	Colombia	Spanish 100%		92	Italy	Italian 100%		143	Panama	Spanish 100%		194	United States	"English 82.1%, Spanish 10.7%"
42	"Congo, Democratic Republic of the"	"French 33%, Swahili 20%, Lingala 20%"		93	Jamaica	English 100%		144	Papua New Guinea	"English 2%, Tok Pisin 1.8%"		195	Uruguay	Spanish 100%
43	"Congo, Republic of the"	"French 30%, Ibali Teke 17%, Lingala 13%"		94	Japan	Japanese 100%		145	Paraguay	"Guarani 50%, Spanish 50%"		196	Uzbekistan	"Uzbek 74.3%, Russian 14.2%, Tajik 4.4%"
44	Costa Rica	Spanish 100%		95	Jersey	"English 94.5%, Portuguese 4.6%"		146	Peru	"Spanish 84.1%, Quechua 13%, Aymara 1.7%"		197	Vanuatu	"Bislama 23.1%, English 1.9%, French 1.4%"
45	Cote d'Ivoire	"French 50%, Baoul̩ 14%"		96	Jordan	Arabic 100%		147	Philippines	Filipino 100%		198	Venezuela	Spanish 100%
46	Croatia	Serbo-Croatian 100%		97	Kazakhstan	"Kazakh 63%, Russian 24%"		148	Poland	Polish 97.8%		199	Vietnam	Vietnamese 100%
47	Cuba	Spanish 100%		98	Kenya	"Swahili 80%, English 20%"		149	Portugal	Portuguese 100%		200	Virgin Islands	"English 74.7%, Spanish 16.8%, French 6.6%"
48	Cyprus	"Greek (Modern) 77%, Turkish 18%"		99	Kiribati	Gilbertese 62.6%		150	Puerto Rico	"Spanish 90%, English 10%"		201	Yemen	Arabic 100%
49	Czech Republic	"Czech 95.4%, Slovak 1.6%"		100	"Korea, North"	Korean 100%		151	Qatar	Arabic 100%		202	Zambia	"Bemba (Zambia) 30.1%, English 16%, Nyanja 10.7%, Tonga (Zambia) 10.6%, Lozi 5.7%"
50	Denmark	Danish 100%		101	"Korea, South"	Korean 100%		152	Romania	"Romanian 91%, Hungarian 6.7%, Romany 1.1%"		203	Zimbabwe	"Shona 70%, North Ndebele 20%, English 2.5%"
51	Djibouti	"Somali 38%, Arabic 20%, French 20%, Afar 13%"		102	Kosovo	Albanian 100%		153	Rome	Latin 100%				
