Lang_Code	Lang_Name	Num_Speakers_M	Family_Name	Family_Code	Viz_Family_Name	Viz_Family_Code	Primary_Family_Name	Primary_Family_Code
kaz	Kazakh	12	Turkic	trk	Turkic	trk	Altaic	tut
kir	Kirghiz	5	Turkic	trk	Turkic	trk	Altaic	tut
kum	Kumyk	0.5	Turkic	trk	Turkic	trk	Altaic	tut
alt	Southern Altai	0.07	Turkic	trk	Turkic	trk	Altaic	tut
tat	Tatar	8	Turkic	trk	Turkic	trk	Altaic	tut
tur	Turkish	70	Turkic	trk	Turkic	trk	Altaic	tut
tuk	Turkmen	9	Turkic	trk	Turkic	trk	Altaic	tut
tyv	Tuvinian	0.25	Turkic	trk	Turkic	trk	Altaic	tut
uig	Uighur	10	Turkic	trk	Turkic	trk	Altaic	tut
uzb	Uzbek	24	Turkic	trk	Turkic	trk	Altaic	tut
sah	Yakut	0.456	Turkic	trk	Turkic	trk	Altaic	tut
chy	Cheyenne	0.002	Algic	aql	North American Indian	nai	Amerindian	#N/A
cre	Cree	0.117	Algic	aql	North American Indian	nai	Amerindian	#N/A
chp	Chipewyan	0.01	Athapascan	ath	North American Indian	nai	Amerindian	#N/A
chr	Cherokee	0.018	Iroquoian	iro	North American Indian	nai	Amerindian	#N/A
cho	Choctaw	0.02	Muskogean	#N/A	North American Indian	nai	Amerindian	#N/A
mus	Creek	0.01	Muskogean	#N/A	North American Indian	nai	Amerindian	#N/A
nav	Navajo	0.178	Na-Dene	xnd	North American Indian	nai	Amerindian	#N/A
aym	Aymara	2	Quechuan	qwe	South American Indian	sai	Amerindian	#N/A
que	Quechua	10	Quechuan	qwe	South American Indian	sai	Amerindian	#N/A
grn	Guarani	7	Tupi	tup	South American Indian	sai	Amerindian	#N/A
ace	Achinese	3	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
bik	Bikol	2	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
bug	Buginese	4	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
ceb	Cebuano	20	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
cha	Chamorro	0.06	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
fij	Fijian	0.55	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
fil	Filipino	90	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
haw	Hawaiian	0.027	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
hmo	Hiri Motu	0.12	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
ilo	Iloko	10	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
jav	Javanese	80	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
mlg	Malagasy	20	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
msa	Malay	300	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
mri	Maori	0.157	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
mah	Marshallese	0.04	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
nrm	Narom	0.0025	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
nau	Nauru	0.006	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
pam	Pampanga	3	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
pag	Pangasinan	2	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
smo	Samoan	0.37	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
sun	Sundanese	27	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
tah	Tahitian	0.12	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
tet	Tetum	0.8	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
tkl	Tokelau	0.001	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
ton	Tonga (Tonga Islands)	0.105	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
war	Waray-Waray	3	Malayo-Polynesian	poz	Malayo-Polynesian	poz	Austronesian	map
abk	Abkhazian	0.125	Caucasian	cau	Caucasian	cau	Caucasian	cau
ava	Avaric	0.06	Caucasian	cau	Caucasian	cau	Caucasian	cau
che	Chechen	1	Caucasian	cau	Caucasian	cau	Caucasian	cau
kat	Georgian	4	Caucasian	cau	Caucasian	cau	Caucasian	cau
kbd	Kabardian	2	Caucasian	cau	Caucasian	cau	Caucasian	cau
lbe	Lak	0.12	Caucasian	cau	Caucasian	cau	Caucasian	cau
lez	Lezghian	0.784	Caucasian	cau	Caucasian	cau	Caucasian	cau
xmf	Mingrelian	0.5	Caucasian	cau	Caucasian	cau	Caucasian	cau
ady	Adyghe	0.5	North Caucasian	ccn	Caucasian	cau	Caucasian	cau
dar	Dargwa	0.51	North Caucasian	ccn	Caucasian	cau	Caucasian	cau
inh	Ingush	0.4	North Caucasian	ccn	Caucasian	cau	Caucasian	cau
tab	Tabassaran	0.1	North Caucasian	ccn	Caucasian	cau	Caucasian	cau
bis	Bislama	0.2	Creole (English)	cpe	Creoles and pidgins	crp	Creoles and pidgins	crp
pih	Pitcairn-Norfolk	0.0001	Creole (English)	cpe	Creoles and pidgins	crp	Creoles and pidgins	crp
srn	Sranan Tongo	0.3	Creole (English)	cpe	Creoles and pidgins	crp	Creoles and pidgins	crp
tpi	Tok Pisin	4	Creole (English)	cpe	Creoles and pidgins	crp	Creoles and pidgins	crp
hat	Haitian	12	Creole (French)	cpf	Creoles and pidgins	crp	Creoles and pidgins	crp
pap	Papiamento	0.329	Creole (Spanish)	#N/A	Creoles and pidgins	crp	Creoles and pidgins	crp
kan	Kannada	47	Dravidian	dra	Dravidian	dra	Dravidian	dra
mal	Malayalam	37	Dravidian	dra	Dravidian	dra	Dravidian	dra
tam	Tamil	66	Dravidian	dra	Dravidian	dra	Dravidian	dra
tel	Telugu	80	Dravidian	dra	Dravidian	dra	Dravidian	dra
sqi	Albanian	16	Albanian	sqj	Albanian	sqj	Indo-European	ine
hye	Armenian	6	Armenian	hyx	Armenian	hyx	Indo-European	ine
lav	Latvian	2.15	Baltic	bat	Baltic	bat	Indo-European	ine
lit	Lithuanian	4	Baltic	bat	Baltic	bat	Indo-European	ine
sgs	Samogitian	0.5	Baltic	bat	Baltic	bat	Indo-European	ine
bre	Breton	0.25	Celtic	cel	Celtic	cel	Indo-European	ine
cor	Cornish	0.004	Celtic	cel	Celtic	cel	Indo-European	ine
gle	Irish	0.53	Celtic	cel	Celtic	cel	Indo-European	ine
glv	Manx	0.002	Celtic	cel	Celtic	cel	Indo-European	ine
gla	Scottish Gaelic	0.07	Celtic	cel	Celtic	cel	Indo-European	ine
cym	Welsh	0.75	Celtic	cel	Celtic	cel	Indo-European	ine
epo	Esperanto	1	Constructed	#N/A	Constructed	#N/A	Indo-European	ine
ido	Ido	0.003	Constructed	#N/A	Constructed	#N/A	Indo-European	ine
ina	Interlingua	0.0001	Constructed	#N/A	Constructed	#N/A	Indo-European	ine
ile	Interlingue	0.000001	Constructed	#N/A	Constructed	#N/A	Indo-European	ine
nov	Novial	0.000001	Constructed	#N/A	Constructed	#N/A	Indo-European	ine
vol	Volapük	0.00002	Constructed	#N/A	Constructed	#N/A	Indo-European	ine
afr	Afrikaans	13	Germanic	gem	Germanic	gem	Indo-European	ine
bar	Bavarian	12	Germanic	gem	Germanic	gem	Indo-European	ine
dan	Danish	6	Germanic	gem	Germanic	gem	Indo-European	ine
nld	Dutch	27	Germanic	gem	Germanic	gem	Indo-European	ine
eng	English	1500	Germanic	gem	Germanic	gem	Indo-European	ine
fao	Faroese	0.07	Germanic	gem	Germanic	gem	Indo-European	ine
deu	German	185	Germanic	gem	Germanic	gem	Indo-European	ine
got	Gothic	0.000001	Germanic	gem	Germanic	gem	Indo-European	ine
isl	Icelandic	0.32	Germanic	gem	Germanic	gem	Indo-European	ine
ksh	Kölsch	0.25	Germanic	gem	Germanic	gem	Indo-European	ine
lim	Limburgan	2	Germanic	gem	Germanic	gem	Indo-European	ine
nds	Low German	10	Germanic	gem	Germanic	gem	Indo-European	ine
ltz	Luxembourgish	0.39	Germanic	gem	Germanic	gem	Indo-European	ine
enm	Middle English	0.000001	Germanic	gem	Germanic	gem	Indo-European	ine
gmh	Middle High German	0.000001	Germanic	gem	Germanic	gem	Indo-European	ine
frr	Northern Frisian	0.01	Germanic	gem	Germanic	gem	Indo-European	ine
nor	Norwegian	5	Germanic	gem	Germanic	gem	Indo-European	ine
ang	Old English	0.000001	Germanic	gem	Germanic	gem	Indo-European	ine
non	Old Norse	0.000001	Germanic	gem	Germanic	gem	Indo-European	ine
pdc	Pennsylvania German	0.25	Germanic	gem	Germanic	gem	Indo-European	ine
pfl	Pfaelzisch	0.000001	Germanic	gem	Germanic	gem	Indo-European	ine
stq	Saterfriesisch	0.002	Germanic	gem	Germanic	gem	Indo-European	ine
sco	Scots	2	Germanic	gem	Germanic	gem	Indo-European	ine
swe	Swedish	10	Germanic	gem	Germanic	gem	Indo-European	ine
gsw	Swiss German	5	Germanic	gem	Germanic	gem	Indo-European	ine
vls	Vlaams	1	Germanic	gem	Germanic	gem	Indo-European	ine
fry	Western Frisian	0.65	Germanic	gem	Germanic	gem	Indo-European	ine
yid	Yiddish	3	Germanic	gem	Germanic	gem	Indo-European	ine
zea	Zeeuws	0.22	Germanic	gem	Germanic	gem	Indo-European	ine
grc	Ancient Greek	0.000001	Greek	grk	Greek	grk	Indo-European	ine
ell	Modern Greek	15	Greek	grk	Greek	grk	Indo-European	ine
pnt	Pontic	0.325	Greek	grk	Greek	grk	Indo-European	ine
asm	Assamese	13	Indic	inc	Indic	inc	Indo-European	ine
ben	Bengali	230	Indic	inc	Indic	inc	Indo-European	ine
bpy	Bishnupriya	0.45	Indic	inc	Indic	inc	Indo-European	ine
div	Dhivehi	0.3	Indic	inc	Indic	inc	Indo-European	ine
hif	Fiji Hindi	0.46	Indic	inc	Indic	inc	Indo-European	ine
guj	Gujarati	46	Indic	inc	Indic	inc	Indo-European	ine
hin	Hindi	550	Indic	inc	Indic	inc	Indo-European	ine
kas	Kashmiri	5	Indic	inc	Indic	inc	Indo-European	ine
lah	Lahnda	60	Indic	inc	Indic	inc	Indo-European	ine
mar	Marathi	90	Indic	inc	Indic	inc	Indo-European	ine
nep	Nepali	30	Indic	inc	Indic	inc	Indo-European	ine
ori	Oriya	31	Indic	inc	Indic	inc	Indo-European	ine
pli	Pali	0.000001	Indic	inc	Indic	inc	Indo-European	ine
pan	Panjabi	104	Indic	inc	Indic	inc	Indo-European	ine
rom	Romany	2	Indic	inc	Indic	inc	Indo-European	ine
san	Sanskrit	0.05	Indic	inc	Indic	inc	Indo-European	ine
snd	Sindhi	41	Indic	inc	Indic	inc	Indo-European	ine
sin	Sinhala	19	Indic	inc	Indic	inc	Indo-European	ine
urd	Urdu	60	Indic	inc	Indic	inc	Indo-European	ine
glk	Gilaki	3	Iranian	ira	Iranian	ira	Indo-European	ine
kur	Kurdish	30	Iranian	ira	Iranian	ira	Indo-European	ine
mzn	Mazanderani	4	Iranian	ira	Iranian	ira	Indo-European	ine
oss	Ossetian	0.52	Iranian	ira	Iranian	ira	Indo-European	ine
fas	Persian	107	Iranian	ira	Iranian	ira	Indo-European	ine
pus	Pushto	26	Iranian	ira	Iranian	ira	Indo-European	ine
tgk	Tajik	4	Iranian	ira	Iranian	ira	Indo-European	ine
zza	Zaza	2	Iranian	ira	Iranian	ira	Indo-European	ine
arg	Aragonese	0.01	Italic	itc	Italic	itc	Indo-European	ine
frp	Arpitan	0.113	Italic	itc	Italic	itc	Indo-European	ine
ast	Asturian	0.275	Italic	itc	Italic	itc	Indo-European	ine
cat	Catalan	9	Italic	itc	Italic	itc	Indo-European	ine
cos	Corsican	0.25	Italic	itc	Italic	itc	Indo-European	ine
eml	Emiliano-Romagnolo	2	Italic	itc	Italic	itc	Indo-European	ine
ext	Extremaduran	0.5	Italic	itc	Italic	itc	Indo-European	ine
fra	French	200	Italic	itc	Italic	itc	Indo-European	ine
fur	Friulian	0.794	Italic	itc	Italic	itc	Indo-European	ine
glg	Galician	4	Italic	itc	Italic	itc	Indo-European	ine
ita	Italian	70	Italic	itc	Italic	itc	Indo-European	ine
lad	Ladino	0.109	Italic	itc	Italic	itc	Indo-European	ine
lat	Latin	0.01	Italic	itc	Italic	itc	Indo-European	ine
lij	Ligurian	2	Italic	itc	Italic	itc	Indo-European	ine
lmo	Lombard	3	Italic	itc	Italic	itc	Indo-European	ine
rup	Macedo-Romanian	0.3	Italic	itc	Italic	itc	Indo-European	ine
mwl	Mirandese	0.015	Italic	itc	Italic	itc	Indo-European	ine
mol	Moldavian	3.5	Italic	itc	Italic	itc	Indo-European	ine
nap	Neapolitan	8	Italic	itc	Italic	itc	Indo-European	ine
oci	Occitan	2	Italic	itc	Italic	itc	Indo-European	ine
fro	Old French	0.000001	Italic	itc	Italic	itc	Indo-European	ine
pcd	Picard	0.7	Italic	itc	Italic	itc	Indo-European	ine
pms	Piemontese	2	Italic	itc	Italic	itc	Indo-European	ine
por	Portuguese	290	Italic	itc	Italic	itc	Indo-European	ine
ron	Romanian	28	Italic	itc	Italic	itc	Indo-European	ine
roh	Romansh	0.035	Italic	itc	Italic	itc	Indo-European	ine
srd	Sardinian	2	Italic	itc	Italic	itc	Indo-European	ine
scn	Sicilian	8	Italic	itc	Italic	itc	Indo-European	ine
spa	Spanish	500	Italic	itc	Italic	itc	Indo-European	ine
vec	Venetian	2	Italic	itc	Italic	itc	Indo-European	ine
wln	Walloon	0.6	Italic	itc	Italic	itc	Indo-European	ine
bel	Belarusian	6	Slavic	sla	Slavic	sla	Indo-European	ine
bul	Bulgarian	12	Slavic	sla	Slavic	sla	Indo-European	ine
chu	Church Slavic	0.000001	Slavic	sla	Slavic	sla	Indo-European	ine
ces	Czech	12	Slavic	sla	Slavic	sla	Indo-European	ine
csb	Kashubian	0.05	Slavic	sla	Slavic	sla	Indo-European	ine
dsb	Lower Sorbian	0.014	Slavic	sla	Slavic	sla	Indo-European	ine
mkd	Macedonian	3	Slavic	sla	Slavic	sla	Indo-European	ine
orv	Old Russian	0.000001	Slavic	sla	Slavic	sla	Indo-European	ine
pol	Polish	43	Slavic	sla	Slavic	sla	Indo-European	ine
rus	Russian	278	Slavic	sla	Slavic	sla	Indo-European	ine
rue	Rusyn	0.6	Slavic	sla	Slavic	sla	Indo-European	ine
hbs	Serbo-Croatian	23	Slavic	sla	Slavic	sla	Indo-European	ine
szl	Silesian	0.056	Slavic	sla	Slavic	sla	Indo-European	ine
slk	Slovak	7	Slavic	sla	Slavic	sla	Indo-European	ine
slv	Slovenian	2	Slavic	sla	Slavic	sla	Indo-European	ine
ukr	Ukrainian	45	Slavic	sla	Slavic	sla	Indo-European	ine
hsb	Upper Sorbian	0.04	Slavic	sla	Slavic	sla	Indo-European	ine
aka	Akan	19	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
bam	Bambara	6	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
ewe	Ewe	4	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
ful	Fulah	13	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
lug	Ganda	10	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
ibo	Igbo	22	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
kik	Kikuyu	5	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
kin	Kinyarwanda	12	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
kon	Kongo	7	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
kua	Kuanyama	0.7	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
lin	Lingala	25	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
ndo	Ndonga	1	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
nya	Nyanja	9	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
nso	Pedi	4	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
run	Rundi	5	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
sag	Sango	3	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
sna	Shona	7	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
sot	Southern Sotho	5	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
swa	Swahili	50	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
ssw	Swati	3	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
tso	Tsonga	3	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
tsn	Tswana	4	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
tum	Tumbuka	2	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
ven	Venda	0.875	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
wol	Wolof	4	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
xho	Xhosa	8	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
yor	Yoruba	25	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
zul	Zulu	26	Niger-Kordofanian	nic	Niger-Kordofanian	nic	Niger-Kordofanian	nic
khm	Central Khmer	18	Austro-Asiatic	aav	Austro-Asiatic	aav	Other	#N/A
vie	Vietnamese	80	Austro-Asiatic	aav	Austro-Asiatic	aav	Other	#N/A
eus	Basque	1	Basque	euq	Basque	euq	Other	#N/A
jbo	Lojban	0.000001	Constructed	#N/A	Constructed	#N/A	Other	#N/A
iku	Inuktitut	0.03	Eskimo-Aleut	esx	Eskimo-Aleut	esx	Other	#N/A
ipk	Inupiaq	0.002	Eskimo-Aleut	esx	Eskimo-Aleut	esx	Other	#N/A
kal	Kalaallisut	0.05	Eskimo-Aleut	esx	Eskimo-Aleut	esx	Other	#N/A
kau	Kanuri	4	Nilo-Saharan	ssa	Nilo-Saharan	ssa	Other	#N/A
zho	Chinese	1575	Sinitic	zhx	Sino-Tibetan	sit	Sino-Tibetan	sit
yiz	Azhe	0.05	Sino-Tibetan	sit	Sino-Tibetan	sit	Sino-Tibetan	sit
mya	Burmese	52	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
dzo	Dzongkha	0.6	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
kac	Kachin	1	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
lis	Lisu	0.8	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
new	Newari	0.8	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
iii	Sichuan Yi	2	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
bod	Tibetan	7	Tibeto-Burman	tbq	Sino-Tibetan	sit	Sino-Tibetan	sit
lao	Lao	5	Tai	tai	Tai	tai	Tai	tai
tiz	Tai Hongjin	0.085	Tai	tai	Tai	tai	Tai	tai
tha	Thai	73	Tai	tai	Tai	tai	Tai	tai
zha	Zhuang	14	Tai	tai	Tai	tai	Tai	tai
myv	Erzya	0.5	Uralic	urj	Uralic	urj	Uralic	urj
est	Estonian	1.07	Uralic	urj	Uralic	urj	Uralic	urj
fin	Finnish	6	Uralic	urj	Uralic	urj	Uralic	urj
hun	Hungarian	15	Uralic	urj	Uralic	urj	Uralic	urj
kom	Komi	0.293	Uralic	urj	Uralic	urj	Uralic	urj
chm	Mari (Russia)	0.6	Uralic	urj	Uralic	urj	Uralic	urj
mdf	Moksha	0.5	Uralic	urj	Uralic	urj	Uralic	urj
sme	Northern Sami	0.02	Uralic	urj	Uralic	urj	Uralic	urj
udm	Udmurt	0.55	Uralic	urj	Uralic	urj	Uralic	urj
vep	Veps	0.004	Uralic	urj	Uralic	urj	Uralic	urj
